"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"+1","ALEX CLARE","Too Close",1734,"+40",129,"+26",9.708,"+0.366",109,"12",1,1734,260,9.708
2,"-1","FUN.","Some Nights",1711,"-2",14,"-17",9.128,"-0.137",103,"4",1,1719,250,9.728
3,"=","GREEN DAY","Oh Love",1675,"+5",38,"-5",8.726,"+0.019",25,"178",2,1675,1355,8.726
4,"=","LINKIN PARK","Burn It Down",1616,"-18",-28,"-12",9.084,"-0.104",116,"72",1,1740,1245,9.693
5,"=","OF MONSTERS AND MEN","Little Talks",1471,"+1",-53,"+26",8.107,"-0.016",249,"32",1,1759,158,9.215
6,"=","IMAGINE DRAGONS","It's Time",1449,"+13",-3,"+21",6.42,"-0.020",170,"74",3,1557,229,7.186
7,"=","LUMINEERS","Ho Hey",1296,"+33",143,"+35",7.424,"+0.275",116,"26",7,1296,197,7.424
8,"=","KILLERS","Runaways",1239,"-13",-13,"-25",5.456,"-0.036",31,"141",8,1254,828,5.533
9,"=","BLACK KEYS","Gold On The Ceiling",1234,"-10",-87,"+7",7.013,"-0.007",205,"127",1,1915,266,9.583
10,"=","GROUPLOVE","Tongue Tied",1199,"-5",-116,"+25",6.906,"-0.122",244,"47",1,1882,222,10.046
11,"=","OFFSPRING","Days Go By",1007,"-30",-103,"-18",4.299,"-0.215",104,"--",7,1322,667,5.539
12,"+1","AWOLNATION","Kill Your Heroes",893,"+22",86,"+8",3.148,"+0.035",69,"--",12,893,132,3.186
13,"-1","SILVERSUN PICKUPS","Bloody Mary (Nerve E...",856,"-29",-132,"-32",3.792,"-0.118",136,"--",7,1228,476,5.283
14,"=","GASLIGHT ANTHEM","45",851,"+14",89,"+3",3.182,"+0.060",90,"--",14,851,121,3.182
15,"=","PASSION PIT","Take A Walk",736,"+2",89,"-11",3.234,"+0.057",90,"191",15,736,182,3.234
16,"=","BLACK KEYS","Little Black Submari...",646,"+1",137,"-35",2.412,"+0.007",59,"--",16,646,176,2.412
17,"=","ALABAMA SHAKES","Hold On",615,"-12",4,"-10",1.506,"-0.002",111,"267",14,673,126,1.923
18,"=","NO DOUBT","Settle Down",578,"-1",-35,"+3",3.774,"+0.019",25,"67",17,616,489,4.461
19,"=","SHINEDOWN","Unity",503,"-7",-1,"-13",1.7,"-0.047",84,"--",19,518,75,1.852
20,"=","METRIC","Youth Without Youth",462,"-2",-84,"+17",1.433,"-0.010",100,"--",12,809,340,3.237
21,"+1","RISE AGAINST","Wait For Me",446,"+1",2,"-1",1.519,"+0.032",61,"--",21,451,78,1.519
22,"-1","ATLAS GENIUS","Trojans",444,"-7",-2,"-7",1.369,"-0.015",94,"--",21,459,121,1.385
23,"=","WOMBATS","Jump Into The Fog",441,"-2",31,"-12",1.736,"-0.015",132,"--",22,454,98,1.751
24,"=","DIRTY HEADS","Spread Too Thin",437,"-4",-45,"+11",1.339,"-0.028",140,"--",11,907,144,3.825
25,"+3","MUMFORD & SONS","I Will Wait",425,"+143",425,"+143",2.364,"+0.655",3,"3",25,425,425,2.364
26,"-1","MORNING PARADE","Headlights",404,"+6",13,"+2",1.315,"+0.013",126,"--",24,418,66,1.374
27,"=","P.O.D.","Lost In Forever",287,"+2",24,"-1",1.275,"+0.046",72,"--",26,287,65,1.275
28,"-2","ELLIE GOULDING","Lights",286,"+0",26,"-5",1.541,"-0.041",35,"11",26,286,61,1.582
29,"+2","TWO DOOR CINEMA CLUB","Sleep Alone",273,"+11",37,"+4",0.794,"+0.043",17,"--",29,273,135,0.794
30,"-1","GOTYE","Eyes Wide Open",272,"+0",-28,"+5",0.806,"-0.010",112,"--",18,523,103,1.97
31,"-1","SMASHING PUMPKINS","The Celestials",269,"-1",0,"-7",0.643,"+0.016",42,"--",28,291,98,1.275
32,"=","M83","Reunion",258,"+9",34,"+11",0.85,"+0.063",71,"--",31,260,59,1.055
33,"=","SLIGHTLY STOOPID","Top Of The World",249,"+4",54,"-6",1.526,"+0.000",13,"--",31,249,120,1.625
34,"=","SEETHER","Here And Now",240,"+6",64,"+1",0.869,"-0.011",40,"--",33,240,67,0.88
35,"+3","YOUNGBLOOD HAWKE","We Come Running",222,"+24",115,"+15",1.522,"+0.240",8,"--",35,222,117,1.522
36,"-1","ANIMAL KINGDOM","Strange Attractor",222,"+1",-21,"+0",0.429,"+0.015",141,"--",25,399,66,1.046
37,"-1","THE ROYAL CONCEPT","Gimme Twice",211,"-2",8,"-5",0.445,"-0.033",54,"--",35,227,97,0.666
38,"-1","SOUNDGARDEN","Live To Rise",200,"-1",-25,"+3",0.912,"-0.007",127,"--",13,847,388,3.762
39,"=","FOSTER THE PEOPLE","Houdini",187,"-2",-13,"-1",0.526,"-0.014",91,"--",32,303,61,0.869
40,"=","ROME","Dedication",184,"-2",-29,"+4",0.446,"-0.005",57,"--",34,255,77,0.88
41,"+2","GROUPLOVE","Itchin' On A Photogr...",165,"+23",98,"+9",0.657,"+0.072",5,"--",41,165,98,0.657
42,"=","BUSH","The Afterlife",154,"+6",8,"+0",0.571,"+0.041",21,"--",41,154,53,0.571
43,"+1","PAPA ROACH","Still Swingin",151,"+9",72,"-2",0.364,"+0.029",6,"--",43,151,74,0.364
44,"-3","DEAD SARA","Weatherman",149,"-7",-66,"-3",0.713,"-0.020",104,"--",35,229,42,1.613
45,"=","JACK WHITE","Freedom At 21",144,"+3",38,"-9",0.423,"-0.030",8,"--",42,144,90,0.453
46,"=","FIVE FINGER DEATH PU...","Coming Down",125,"+1",8,"-4",0.284,"+0.004",31,"360",42,131,45,0.32
47,"--","DIRTY HEADS","Dance All Night f/Ma...",113,"--",60,"--",0.262,"--",1,"--",47,113,60,0.262
48,"-1","REDLIGHT KING","Comeback",112,"-2",9,"-5",0.277,"-0.014",44,"--",45,122,48,0.441
49,"-1","VOLBEAT","Still Counting",107,"+0",8,"+1",0.293,"-0.007",11,"358",46,124,33,0.3
50,"=","CALVIN HARRIS","Feel So Close",106,"+2",50,"-5",0.755,"+0.005",8,"91",49,106,55,0.755
