"Title","Artist","Spins"
"Dangerous f/Joywave","BIG DATA",2592
"Riptide","VANCE JOY",2390
"Fever","BLACK KEYS",2390
"I Wanna Get Better","BLEACHERS",2371
"My Sweet Summer","DIRTY HEADS",1821
"Why'd You Only Call Me When...","ARCTIC MONKEYS",1751
"A Sky Full Of Stars","COLDPLAY",1723
"Stolen Dance","MILKY CHANCE",1691
"Come With Me Now","KONGOS",1674
"Back To The Shack","WEEZER",1552
"Bad Blood","BASTILLE",1469
"I Don't Want To Be Here ...","RISE AGAINST",1329
"Left Hand Free","ALT-J",1153
"Cardiac Arrest","BAD SUNS",1074
"Lazaretto","JACK WHITE",1023
"Take It Or Leave It","CAGE THE ELEPHANT",965
"Take Me To Church","HOZIER",848
"Take It As It Comes","J. RODDY WALSTON/THE BUSINESS",787
"Reverse","SOMEKINDAWONDERFUL",732
"Habits (Stay High)","TOVE LO",657
"One Minute More","CAPITAL CITIES",601
"Weekend","PRIORY",598
"Heaven Knows","PRETTY RECKLESS",593
"I'm Only Joking","KONGOS",592
"Do Or Die","THIRTY SECONDS TO MARS",580
"Beware The Dog","GRISWOLDS",564
"West Coast","LANA DEL REY",529
"Flaws","BASTILLE",473
"Until It's Gone","LINKIN PARK",457
"Mind Over Matter","YOUNG THE GIANT",447
"Tongues","JOYWAVE",442
"Tennis Court","LORDE",423
"Family Tree","KINGS OF LEON",382
"Rude","MAGIC!",377
"Desire","MEG MYERS",320
"Black Out Days","PHANTOGRAM",291
"Words As Weapons","SEETHER",279
"Cool Kid","THE EERIES",262
"All The Rage Back Home","INTERPOL",261
"Always","PANAMA",254
"Best Friend","FOSTER THE PEOPLE",252
"Seasons (Waiting On You)","FUTURE ISLANDS",247
"Step","VAMPIRE WEEKEND",233
"Heart And Soul","TWIN ATLANTIC",202
"End Of Me","A DAY TO REMEMBER",190
"Agora","BEAR HANDS",181
"I'm With You","GROUPLOVE",181
"All Of The People","PANAMA WEDDING",174
"Writing's On The Wall","OK GO",168
"Text Me In The Morning","NEON TREES",165
