"Title","Artist","Spins"
"Riptide","VANCE JOY",2723
"Dangerous f/Joywave","BIG DATA",2643
"Stolen Dance","MILKY CHANCE",2305
"My Sweet Summer","DIRTY HEADS",2246
"A Sky Full Of Stars","COLDPLAY",1912
"Back To The Shack","WEEZER",1827
"Fever","BLACK KEYS",1772
"Left Hand Free","ALT-J",1604
"Come With Me Now","KONGOS",1500
"I Wanna Get Better","BLEACHERS",1488
"Take Me To Church","HOZIER",1391
"I Don't Want To Be Here ...","RISE AGAINST",1380
"Take It As It Comes","J. RODDY WALSTON/THE BUSINESS",1027
"I'm Only Joking","KONGOS",984
"Flaws","BASTILLE",973
"Weekend","PRIORY",930
"Beware The Dog","GRISWOLDS",845
"Do Or Die","THIRTY SECONDS TO MARS",757
"Habits (Stay High)","TOVE LO",745
"Reverse","SOMEKINDAWONDERFUL",679
"Mind Over Matter","YOUNG THE GIANT",666
"Desire","MEG MYERS",556
"Heaven Knows","PRETTY RECKLESS",549
"Tongues","JOYWAVE",514
"West Coast","LANA DEL REY",479
"Lazaretto","JACK WHITE",435
"Trainwreck 1979","DEATH FROM ABOVE 1979",434
"Gotta Get Away","BLACK KEYS",425
"Words As Weapons","SEETHER",375
"All The Rage Back Home","INTERPOL",373
"Cool Kid","THE EERIES",367
"Agora","BEAR HANDS",351
"Black Out Days","PHANTOGRAM",342
"Heart And Soul","TWIN ATLANTIC",315
"Do You","SPOON",302
"Rude","MAGIC!",299
"One Minute More","CAPITAL CITIES",275
"Fools Gold","FITZ & THE TANTRUMS",260
"Until It's Gone","LINKIN PARK",249
"Family Tree","KINGS OF LEON",238
"Seasons (Waiting On You)","FUTURE ISLANDS",225
"All Of The People","PANAMA WEDDING",220
"Get Hurt","GASLIGHT ANTHEM",208
"End Of Me","A DAY TO REMEMBER",197
"Red Eyes","WAR ON DRUGS",191
"High","YOUNG RISING SONS",191
"Writing's On The Wall","OK GO",179
"I'm With You","GROUPLOVE",176
"Mother & Father","BROODS",165
"Cigarette Daydreams","CAGE THE ELEPHANT",160
