"Title","Artist","Spins"
"Something From Nothing","FOO FIGHTERS",2634
"Take Me To Church","HOZIER",2215
"Stolen Dance","MILKY CHANCE",2182
"R U Mine?","ARCTIC MONKEYS",2080
"Cigarette Daydreams","CAGE THE ELEPHANT",2050
"I Bet My Life","IMAGINE DRAGONS",1974
"Shut Up And Dance","WALK THE MOON",1904
"Centuries","FALL OUT BOY",1694
"Dangerous f/Joywave","BIG DATA",1544
"Rollercoaster","BLEACHERS",1435
"Figure It Out","ROYAL BLOOD",1389
"Beggin For Thread","BANKS",1357
"Lampshades On Fire","MODEST MOUSE",1148
"Yellow Flicker Beat","LORDE",1074
"Agora","BEAR HANDS",956
"Long Way Down","ROBERT DELONG",949
"The Only Way Out","BUSH",900
"Fools Gold","FITZ & THE TANTRUMS",839
"Budapest","GEORGE EZRA",809
"Flaws","BASTILLE",798
"Cecilia And The Satellite","ANDREW MCMAHON IN WILDERNESS",780
"Kathleen","CATFISH AND THE BOTTLEMEN",685
"Everywhere I Go (Kings &...","NEW POLITICS",670
"Gooey","GLASS ANIMALS",636
"Bad Habit","KOOKS",556
"Every Breaking Wave","U2",550
"Tragedy + Time","RISE AGAINST",538
"Till It's Gone","YELAWOLF",461
"Happy Idiot","TV ON THE RADIO",402
"Every Other Freckle","ALT-J",390
"Sound Of Change","DIRTY HEADS",379
"Da Vinci","WEEZER",372
"Final Masquerade","LINKIN PARK",371
"Mess Is Mine","VANCE JOY",365
"Reflections","MISTERWIVES",303
"Somebody New","JOYWAVE",285
"Crystallized","YOUNG THE GIANT",260
"Wrong","AIRBORNE TOXIC EVENT",244
"Trainwreck 1979","DEATH FROM ABOVE 1979",225
"All This Could Be Yours","COLD WAR KIDS",214
"Gotta Get Away","BLACK KEYS",191
"Weight Of Love","BLACK KEYS",172
"I Am Machine","THREE DAYS GRACE",169
"Same Damn Life","SEETHER",149
"Geronimo","SHEPPARD",147
"Room To Breathe","YOU ME AT SIX",144
"Cool Kids","ECHOSMITH",139
"The Righteous One","ORWELLS",138
"Gold","CHET FAKER",134
"Season's Upon Us","DROPKICK MURPHYS",119
