"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","BLACK KEYS Lonely Boy",1919,"-23",-76,"-13",9.095,"-0.135",115,"--",1,2170,963,11.053
2,"=","GOTYE Somebody That I Used To Know",1887,"+26",186,"+4",9.329,"+0.090",76,"--",2,1887,270,9.329
3,"=","FOO FIGHTERS These Days",1440,"-18",-151,"+6",6.689,"-0.189",153,"407",2,1683,204,8.614
4,"=","AWOLNATION Not Your Fault",1387,"+26",116,"+12",5.237,"+0.133",143,"249",4,1387,122,5.237
5,"=","FUN We Are Young",1382,"+32",203,"+0",6.462,"+0.304",90,"2",5,1382,229,6.462
6,"=","FOSTER THE PEOPLE Don't Stop (Color On T...",1257,"-5",55,"-25",4.473,"-0.069",113,"100",6,1262,213,4.622
7,"+1","RISE AGAINST Satellite",1202,"+6",103,"-13",5.362,"-0.087",106,"765",7,1202,189,5.449
8,"-1","YOUNG THE GIANT Cough Syrup",1182,"-25",-66,"-16",5.474,"-0.236",229,"291",2,1548,155,7.059
9,"=","COLDPLAY Paradise",1083,"-18",-95,"-23",6.143,"-0.227",157,"14",1,1757,369,8.687
10,"=","CHEVELLE Face To The Floor",1058,"+3",-15,"+8",4.96,"+0.034",141,"--",8,1103,275,5.372
11,"=","GROUPLOVE Tongue Tied",969,"+15",115,"+12",3.969,"-0.019",70,"234",11,969,194,3.991
12,"=","FLORENCE + THE MACHINE Shake It Out",867,"-4",-44,"+14",3.942,"+0.120",137,"--",11,949,148,4.817
13,"=","M83 Midnight City",841,"+8",74,"-12",3.428,"-0.094",81,"162",13,841,167,3.714
14,"=","BLINK 182 After Midnight",775,"-25",-167,"-4",3.463,"-0.171",139,"--",8,1064,147,4.66
15,"=","CAGE THE ELEPHANT Aberdeen",727,"-18",-159,"+14",3.052,"-0.002",167,"--",6,1164,191,4.457
16,"=","SHINEDOWN Bully",682,"-5",3,"-16",2.353,"-0.053",44,"--",16,697,360,2.46
17,"=","JACK WHITE Love Interruption",624,"+9",136,"-17",2.234,"-0.010",18,"389",17,624,377,2.269
18,"=","NEON TREES Everybody Talks",607,"+0",52,"-14",2.093,"+0.060",69,"805",17,607,183,2.093
19,"=","OF MONSTERS AND MEN Little Talks",562,"+6",79,"-5",1.857,"+0.036",75,"--",19,562,114,1.857
