"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","IMAGINE DRAGONS","Radioactive",2234,"-16",-52,"-8",12.205,"+0.070",216,"6",1,2299,225,13.169
2,"+1","LUMINEERS","Stubborn Love",1708,"+14",38,"+16",7.546,"+0.184",141,"109",2,1708,202,7.546
3,"-1","OF MONSTERS AND M...","Mountain Sound",1708,"-28",-79,"-35",8.678,"-0.194",221,"200",2,1786,156,10.044
4,"=","MUSE","Madness",1545,"-1",36,"-17",8.898,"+0.069",218,"34",1,2336,1204,14.318
5,"=","SILVERSUN PICKUPS","The Pit",1519,"-15",-28,"-36",6.863,"-0.008",210,"--",4,1553,194,7.691
6,"=","MUMFORD & SONS","Lover Of The Ligh...",1385,"+13",95,"+6",6.727,"+0.029",103,"--",6,1385,214,7.109
7,"=","CAPITAL CITIES","Safe And Sound",1364,"+2",90,"-8",6.666,"+0.168",153,"231",6,1364,181,6.666
8,"=","ATLAS GENIUS","Trojans",1269,"-15",-55,"-17",8.248,"+0.049",322,"324",4,1728,202,10.865
9,"=","BLACK KEYS","Little Black Subm...",1246,"-7",-106,"+15",5.986,"-0.217",287,"--",2,1984,189,11.483
10,"+1","NEIGHBOURHOOD","Sweater Weather",1193,"+10",47,"+19",4.876,"+0.136",115,"203",10,1193,140,4.876
11,"-1","MUMFORD & SONS","I Will Wait",1181,"-17",-127,"+3",6.125,"-0.030",231,"26",1,2257,1048,14.172
12,"=","MUSE","Panic Station",1179,"-3",26,"-6",4.839,"+0.015",79,"--",11,1182,200,5.169
13,"=","THIRTY SECONDS TO...","Up In The Air",1040,"-44",819,"-265",5.907,"-1.192",8,"177",13,1084,1084,7.099
14,"=","PHOENIX","Entertainment",1029,"-6",-15,"-9",4.121,"+0.003",35,"--",13,1056,606,4.417
15,"=","FALL OUT BOY","My Songs Know Wha...",1027,"+23",40,"+42",5.245,"+0.121",48,"11",14,1027,387,5.447
16,"=","AIRBORNE TOXIC EV...","Timeless",918,"-7",24,"-16",3.727,"+0.007",66,"--",14,925,256,4.28
17,"=","PARAMORE","Now",811,"-22",-127,"-20",2.438,"-0.091",61,"--",13,953,306,4.419
18,"=","PASSION PIT","Carried Away",688,"-3",31,"-9",2.456,"-0.012",114,"330",17,691,81,2.551
19,"+1","THE MOWGLI'S","San Francisco",662,"+27",75,"+45",2.704,"+0.098",101,"--",19,662,80,2.704
20,"-1","FAMILY OF THE YEA...","Hero",659,"+13",123,"+5",2.645,"+0.086",134,"--",19,659,123,2.685
21,"=","TWENTY ONE PILOTS","Holding On To You",621,"-1",-22,"+7",2.285,"+0.039",117,"--",18,650,96,2.81
22,"=","FOALS","Inhaler",609,"+9",-25,"+4",1.603,"-0.044",76,"--",19,634,123,2.429
23,"=","ALT-J","Breezeblocks",521,"-1",30,"-8",2.058,"+0.027",58,"--",23,522,84,2.058
24,"+1","NEW POLITICS","Harlem",464,"+6",41,"+4",2.203,"+0.060",63,"--",24,464,98,2.273
25,"-1","FITZ & THE TANTRU...","Out Of My League",459,"-2",1,"-17",1.634,"-0.058",39,"--",24,465,112,1.754
26,"=","C2C","Down The Road",412,"+7",27,"+6",1.114,"+0.059",48,"--",26,412,98,1.177
27,"+1","THREE DAYS GRACE","The High Road",323,"-8",-17,"-11",1.13,"-0.023",71,"--",27,343,85,1.277
28,"-1","ALICE IN CHAINS","Hollow",323,"-14",-63,"-5",0.915,"-0.065",79,"--",24,435,100,1.439
29,"+1","VAMPIRE WEEKEND","Diane Young",299,"+14",270,"-15",1.516,"-0.099",5,"--",29,299,285,1.615
30,"+1","FRANK TURNER","Recovery",299,"+16",94,"-6",0.992,"+0.033",12,"--",30,299,116,0.992
31,"-2","BIFFY CLYRO","Black Chandelier",299,"+5",-7,"-3",1.092,"+0.038",44,"--",29,306,96,1.136
32,"=","ROBERT DELONG","Global Concepts",241,"+0",-4,"-2",0.803,"-0.007",59,"--",32,245,38,0.951
33,"=","GREEN DAY","X-Kid",234,"-2",-8,"+1",0.444,"+0.002",42,"--",32,247,41,0.564
34,"+3","LINKIN PARK","Castle Of Glass",225,"+6",11,"-1",1.155,"+0.044",27,"--",34,225,56,1.584
35,"=","YEAH YEAH YEAHS","Sacrilege",223,"-5",-19,"-7",0.646,"-0.049",26,"--",31,271,256,1.287
36,"=","IAMDYNAMITE","Where Will We Go",218,"-9",-27,"-14",0.601,"-0.100",151,"--",30,263,59,1.204
37,"-3","POSTAL SERVICE","A Tattered Line O...",213,"-18",-61,"-22",0.654,"-0.075",39,"--",30,301,240,1.358
38,"=","THE VIRGINMARYS","Dead Man's Shoes",212,"+3",-1,"+2",0.462,"+0.010",38,"--",37,214,55,0.462
39,"=","ATLAS GENIUS","If So",206,"+4",21,"-1",0.515,"-0.003",24,"--",39,206,60,0.645
40,"=","STROKES","All The Time",181,"-2",-8,"-6",0.265,"-0.009",30,"--",39,189,42,0.336
41,"+1","COLD WAR KIDS","Miracle Mile",181,"+5",-12,"+5",0.669,"+0.009",37,"--",38,193,35,0.742
42,"-1","PHILLIP PHILLIPS","Home",181,"-2",-32,"+3",0.654,"-0.005",148,"52",34,265,54,1.275
43,"=","PAPA ROACH","Before I Die",174,"+4",10,"+5",0.73,"+0.041",29,"--",43,174,55,0.73
44,"+1","DEPECHE MODE","Soothe My Soul",169,"+13",122,"-1",0.891,"+0.047",3,"--",44,169,123,0.891
45,"+2","RDGLDGRN","I Love Lamp",154,"+6",5,"+11",0.603,"-0.009",16,"--",45,154,46,0.864
46,"=","SHINEDOWN","I'll Follow You",154,"-2",-8,"-7",0.887,"-0.012",32,"--",44,162,60,1.024
47,"-3","COREY TAYLOR/DAVE...","From Can To Can't",153,"-4",-30,"-6",0.296,"-0.004",57,"--",33,248,134,0.591
48,"=","MIDDLE CLASS RUT","Aunt Betty",143,"+3",-1,"+1",0.458,"+0.013",20,"--",48,144,27,0.458
49,"=","SOUNDGARDEN","By Crooked Steps",138,"-1",-5,"-1",0.6,"-0.075",31,"--",44,146,22,0.857
50,"--","IMAGINE DRAGONS","Demons",120,"--",17,"--",0.605,"--",1,"100",50,120,17,0.605
