"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","RED HOT CHILI PEPPERS Adventures Of Rain...",1981,-13,-66,-61,8.716,-0.098,32,"136",1,2046,1306,9.098
2,"=","FOO FIGHTERS Walk",1916,1,-40,-7,9.185,-0.058,80,"189",1,1966,354,9.467
3,"=","FOSTER THE PEOPLE Pumped Up Kicks",1505,3,-94,24,7.711,-0.01,98,"3",1,1855,265,9.607
4,"=","BLINK 182 Up All Night",1482,13,78,9,5.649,0.033,33,"370",4,1482,918,5.649
5,"=","AWOLNATION Sail",1315,19,58,32,5.297,0.197,98,"78",5,1315,156,5.297
6,"=","COLDPLAY Every Teardrop Is A Waterfall",1191,-19,-130,-20,4.785,-0.138,75,"42",4,1405,829,6.882
7,"=","311 Sunset In July",996,5,-2,-12,3.159,0.041,72,"--",7,997,323,4.133
8,"=","SUBLIME WITH ROME Panic",981,-7,-179,11,3.617,-0.206,98,"--",4,1393,513,6.557
9,"+1","RISE AGAINST Make It Stop (September's.....",949,12,57,3,4.225,0.072,80,"--",9,949,153,4.225
10,"-1","AIRBORNE TOXIC EVENT Changing",933,-15,-85,-6,3.775,-0.081,98,"802",4,1304,191,5.776
11,"=","DEATH CAB FOR CUTIE You Are A Tourist",902,-5,-51,9,4.08,-0.106,98,"--",2,1688,226,7.892
12,"=","JOY FORMIDABLE Whirring",883,6,8,-8,2.864,0.011,98,"--",12,888,132,2.864
13,"+2","BUSH The Sound Of Winter",777,13,54,-13,3.497,-0.042,24,"--",13,777,344,3.539
14,"-1","BLACK KEYS Howlin' For You",774,-18,-37,-15,4.038,-0.221,98,"364",2,1525,146,6.937
15,"-1","FOO FIGHTERS Rope",756,-13,-52,0,4.969,-0.114,98,"--",1,2006,161,12.051
16,"=","MUMFORD & SONS Roll Away Your Stone",701,-2,28,-16,2.31,-0.002,87,"857",16,703,197,2.312
17,"=","CAKE Long Time",682,-4,19,-27,2.231,-0.004,98,"--",17,686,104,2.296
18,"+1","JANE'S ADDICTION Irresistible Force",667,31,230,30,1.96,-0.038,13,"949",18,667,436,1.998
19,"-1","INCUBUS Adolescents",636,-1,-38,18,4.077,-0.007,98,"--",3,1436,162,8.791
20,"+1","AVENGED SEVENFOLD So Far Away",539,-9,-49,-22,1.93,-0.004,98,"610",19,634,115,2.16
21,"-1","CAGE THE ELEPHANT Around My Head",519,-36,-113,-17,1.438,-0.101,98,"--",16,798,123,2.698
22,"=","YOUNG THE GIANT Cough Syrup",495,5,43,-6,1.643,0.051,44,"--",22,495,126,1.643
23,"=","STAIND Not Again",472,9,16,7,1.535,0.066,31,"--",22,472,209,1.537
24,"=","PARAMORE Monster",460,-1,10,-6,1.458,-0.033,70,"352",23,461,188,1.498
25,"=","INCUBUS Promises, Promises",428,20,28,16,1.548,0.008,34,"--",25,428,92,1.63
26,"=","TWO DOOR CINEMA CLUB What You Know",402,-1,-11,1,1.063,0.01,98,"626",22,495,81,1.701
27,"=","FOSTER THE PEOPLE Helena Beat",366,15,33,8,0.995,0.04,46,"265",27,366,82,1.011
28,"=","SWITCHFOOT Dark Horses",323,6,62,0,1.199,0.023,19,"--",28,323,99,1.199
29,"=","KOOKS Junk Of The Heart",309,-7,-13,-21,0.824,0.003,26,"--",28,328,81,0.858
30,"=","MIDDLE CLASS RUT Busy Bein' Born",283,1,-5,2,0.861,0.026,94,"--",30,289,46,0.924
31,"=","SLEEPER AGENT Get It Daddy",282,6,9,4,0.612,0.004,28,"--",31,282,60,0.665
32,"=","THEORY OF A DEADMAN Lowlife",261,6,13,9,0.899,0.013,43,"--",31,269,63,0.967
33,"+1","EVANESCENCE What You Want",257,13,227,-11,0.912,-0.117,5,"99",33,257,238,1.029
34,"-1","A DAY TO REMEMBER All Signs Point To Lau...",244,-8,-67,-12,0.99,-0.005,77,"--",27,334,79,1.361
35,"=","SEETHER Tonight",226,2,20,-2,1.099,0.046,16,"--",35,226,86,1.099
36,"+2","GROUPLOVE Colours",224,13,33,19,0.834,0.036,16,"--",36,224,74,0.834
37,"-1","TV ON THE RADIO Will Do",215,-4,-32,-7,0.531,-0.01,98,"--",31,272,58,0.72
38,"-1","MY MORNING JACKET Holdin On To Black Met...",212,-4,-6,-14,0.492,-0.01,98,"--",34,222,52,0.678
39,"+1","PORTUGAL. THE MAN Got It All (This Can't...",199,3,-4,7,0.417,0.013,52,"--",37,207,33,0.428
40,"-1","FLORENCE + THE MACHINE You've Got The Lo...",192,-10,-31,-5,0.343,-0.025,59,"--",31,271,93,0.764
41,"=","BLUE OCTOBER The Chills",190,-2,2,-2,1.046,-0.011,20,"--",41,193,40,1.105
42,"=","GIVERS Up Up Up",172,-4,6,-7,0.363,0.017,38,"--",42,179,37,0.37
43,"=","ADELE Rumour Has It",170,5,39,0,0.554,0.019,10,"69",43,170,39,0.554
