"Title","Artist","Spins"
"Believe","MUMFORD & SONS",2604
"Hollow Moon (Bad Wolf)","AWOLNATION",2434
"Black Sun","DEATH CAB FOR CUTIE",2104
"Long Way Down","ROBERT DELONG",2012
"Congregation","FOO FIGHTERS",1987
"Shut Up And Dance","WALK THE MOON",1969
"Dead Inside","MUSE",1951
"Lampshades On Fire","MODEST MOUSE",1871
"What Kind Of Man","FLORENCE + THE MACHINE",1688
"Stolen Dance","MILKY CHANCE",1558
"Mess Is Mine","VANCE JOY",1433
"Crystals","OF MONSTERS AND MEN",1335
"Somebody New","JOYWAVE",1234
"My Type","SAINT MOTEL",1135
"Cecilia And The Satellite","ANDREW MCMAHON IN WILDERNESS",1133
"Coming For You","OFFSPRING",1122
"Weight Of Love","BLACK KEYS",1108
"Shots","IMAGINE DRAGONS",1045
"Don't Wanna Fight","ALABAMA SHAKES",897
"Tear In My Heart","TWENTY ONE PILOTS",768
"Absolution Calling","INCUBUS",675
"Peaches","IN THE VALLEY BELOW",643
"Sorry","MEG MYERS",635
"Get It","MATT AND KIM",565
"Lifted Up (1985)","PASSION PIT",555
"Hold Back The River","JAMES BAY",487
"Little Monster","ROYAL BLOOD",478
"Contagious","NIGHT RIOTS",470
"Flashed Junk Mind","MILKY CHANCE",457
"Moaning Lisa Smile","WOLF ALICE",445
"Nothing Without Love","NATE RUESS",442
"Uma Thurman","FALL OUT BOY",388
"If You Wanna Stay","GRISWOLDS",371
"First","COLD WAR KIDS",359
"Business Of Emotion f/WhiteSea","BIG DATA",341
"Geronimo","SHEPPARD",331
"Everything Is Wrong","INTERPOL",324
"Failure","BREAKING BENJAMIN",295
"Every Other Freckle","ALT-J",284
"Get Closer","LIFE IN FILM",254
"The Wolf","MUMFORD & SONS",234
"Can't Deny My Love","BRANDON FLOWERS",225
"Electric Love","BORNS",205
"Gold","CHET FAKER",202
"I'm Good","THE MOWGLI'S",175
"Heavy Is The Head f/C. Cornell","ZAC BROWN BAND",159
"I Feel Everything","WATERS",154
"Greek Tragedy","WOMBATS",137
"Psycho","MUSE",136
"Work Song","HOZIER",131
