"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","BLACK KEYS Lonely Boy",2128,"+21",43,"+16",10.702,"+0.222",83,"--",1,2128,963,10.702
2,"=","FOO FIGHTERS These Days",1622,"+25",70,"+13",8.551,"+0.016",121,"693",2,1622,204,8.603
3,"=","YOUNG THE GIANT Cough Syrup",1503,"+14",-24,"+36",6.519,"+0.061",197,"274",2,1548,155,7.059
4,"=","COLDPLAY Paradise",1391,"-22",-133,"-21",7.297,"-0.052",125,"20",1,1757,369,8.687
5,"=","RED HOT CHILI PEPPERS Monarchy Of Roses",1293,"-1",59,"-20",5.399,"-0.067",93,"--",5,1294,191,5.466
6,"=","CAGE THE ELEPHANT Aberdeen",1150,"+2",19,"-4",4.182,"+0.026",135,"--",6,1164,191,4.19
7,"=","BUSH The Sound Of Winter",1134,"-3",-89,"+9",6.94,"+0.148",177,"559",1,1806,344,9.58
8,"=","SWITCHFOOT Dark Horses",1071,"-4",-89,"+2",3.664,"-0.053",172,"--",5,1247,121,4.784
9,"=","BLINK 182 After Midnight",1056,"+5",31,"+16",4.334,"+0.045",107,"--",9,1064,147,4.66
10,"=","CHEVELLE Face To The Floor",1026,"+13",34,"+31",4.709,"+0.254",109,"--",9,1035,275,4.709
11,"+1","AWOLNATION Not Your Fault",969,"+17",112,"-5",3.239,"+0.104",111,"318",11,969,122,3.239
12,"-1","FOSTER THE PEOPLE Don't Stop (Color On T...",967,"+12",53,"-10",3.852,"+0.051",81,"109",11,967,213,3.901
13,"=","FLORENCE + THE MACHINE Shake It Out",897,"+6",42,"+12",4.67,"+0.024",105,"--",13,897,148,4.701
14,"=","RISE AGAINST Satellite",877,"-7",8,"-20",3.97,"+0.004",74,"--",14,885,189,3.97
15,"=","SEETHER Tonight",868,"-6",-109,"+8",4.19,"-0.062",169,"275",9,1015,146,4.703
16,"=","GOTYE Somebody That I Used To Know",855,"+38",233,"+12",4.903,"+0.240",44,"--",16,855,233,4.903
17,"=","FUN We Are Young",642,"+3",54,"-14",2.743,"+0.008",58,"65",17,642,124,2.817
18,"+1","GROUPLOVE Tongue Tied",606,"+26",114,"+11",2.822,"+0.101",38,"215",18,606,194,2.822
19,"-1","NAKED AND FAMOUS Punching In A Dream",596,"-4",4,"+2",1.972,"-0.071",153,"469",17,660,105,2.181
20,"=","SHINEDOWN Bully",517,"+27",157,"-30",1.87,"+0.048",12,"627",20,517,360,1.87
21,"=","KORN F/SKRILLEX/KILL THE NOISE Narcissis...",455,"-6",-24,"-8",1.786,"+0.013",91,"--",20,479,106,1.888
22,"=","CAKE Mustache Man (Wasted)",406,"+2",4,"+10",0.836,"-0.007",77,"--",22,439,87,1.076
23,"=","M83 Midnight City",405,"+11",114,"-2",2.701,"+0.173",49,"144",23,405,116,2.701
24,"=","NEON TREES Everybody Talks",397,"+8",73,"-2",1.27,"+0.032",37,"--",24,397,183,1.27
25,"=","AIRBORNE TOXIC EVENT All I Ever Wanted",360,"-6",-58,"-4",1.082,"-0.014",145,"--",19,542,108,1.714
26,"=","JANE'S ADDICTION Underground",337,"+3",0,"+3",0.49,"-0.015",62,"--",25,367,106,0.678
27,"+2","OF MONSTERS AND MEN Little Talks",316,"+9",100,"-5",1.228,"+0.025",43,"--",27,316,114,1.228
28,"=","JOY FORMIDABLE Heavy Abacus",303,"-5",8,"-2",0.692,"+0.007",60,"--",27,324,78,0.908
29,"+1","SHINS Simple Song",301,"+19",274,"-8",1.201,"-0.031",6,"200",29,301,282,1.232
30,"-3","EVERLAST I Get By",289,"-20",-96,"-17",0.598,"-0.070",146,"--",22,445,53,1.508
31,"=","AVENGED SEVENFOLD Buried Alive",240,"+0",-4,"+12",0.65,"+0.013",109,"816",30,273,46,0.78
32,"=","ADELE Set Fire To The Rain",227,"-5",-22,"+3",0.582,"-0.013",52,"1",30,257,84,0.666
33,"=","SILVERSUN PICKUPS Broken Bottles",184,"-5",-1,"-11",0.441,"-0.031",36,"--",33,194,73,0.822
34,"=","BAND OF SKULLS Sweet Sour",183,"+8",43,"+6",0.531,"+0.058",28,"--",34,183,61,0.531
35,"=","VOLBEAT A Warrior's Call",169,"+7",15,"+10",0.396,"+0.001",29,"413",35,169,46,0.519
36,"=","A DAY TO REMEMBER It's Complicated",153,"-1",9,"+0",0.405,"+0.010",53,"--",36,164,34,0.44
37,"=","311 Count Me In",151,"-2",-38,"+4",0.622,"-0.026",94,"--",29,234,77,0.92
38,"=","MASTODON Curl Of The Burl",149,"-3",-25,"-1",0.248,"-0.013",99,"--",34,190,49,0.591
39,"=","FIVE FINGER DEATH PUNCH Remember Everyth...",147,"+3",14,"+2",0.382,"+0.002",42,"434",39,147,51,0.382
40,"=","KASABIAN Days Are Forgotten",124,"-2",30,"-5",0.161,"+0.004",88,"--",40,159,41,0.272
41,"=","REDLIGHT KING Bullet In My Hand",111,"+1",12,"+1",0.423,"+0.003",106,"--",41,153,47,0.604
42,"+1","KNUX Razorblade",105,"+2",21,"+2",0.072,"+0.004",51,"--",42,125,28,0.188
43,"-1","NICKELBACK Bottoms Up",102,"-2",-31,"+11",0.157,"-0.008",111,"--",33,290,145,1.393
44,"+1","COLDPLAY Charlie Brown",101,"+4",39,"+0",0.155,"-0.003",2,"--",44,101,39,0.158
45,"-1","BOMBAY BICYCLE CLUB Shuffle",101,"+3",15,"+0",0.134,"+0.005",14,"--",44,101,20,0.137
46,"--","MIDDLE CLASS RUT Are You On Your Way",98,"--",52,"--",0.272,"--",1,"--",46,98,52,0.272
47,"=","TWO DOOR CINEMA CLUB Undercover Martyn",94,"-2",2,"+1",0.141,"+0.005",46,"--",44,132,33,0.277
48,"--","SLEEPER AGENT Get Burned",93,"--",39,"--",0.165,"--",1,"--",48,93,39,0.165
49,"+1","DEATH CAB FOR CUTIE Underneath The Sycam...",93,"+0",-2,"-1",0.251,"+0.013",10,"--",45,98,13,0.333
50,"-4","STAIND Eyes Wide Open",93,"-4",-19,"-5",0.241,"-0.020",30,"--",41,116,27,0.468
