"Title","Artist","Spins"
"Something From Nothing","FOO FIGHTERS",2375
"R U Mine?","ARCTIC MONKEYS",2358
"Cigarette Daydreams","CAGE THE ELEPHANT",2357
"I Bet My Life","IMAGINE DRAGONS",2284
"Take Me To Church","HOZIER",2150
"Stolen Dance","MILKY CHANCE",2138
"Shut Up And Dance","WALK THE MOON",2082
"Figure It Out","ROYAL BLOOD",1669
"Rollercoaster","BLEACHERS",1655
"Lampshades On Fire","MODEST MOUSE",1600
"Dangerous f/Joywave","BIG DATA",1556
"Centuries","FALL OUT BOY",1439
"Beggin For Thread","BANKS",1397
"Long Way Down","ROBERT DELONG",1231
"Budapest","GEORGE EZRA",976
"Yellow Flicker Beat","LORDE",911
"Kathleen","CATFISH AND THE BOTTLEMEN",855
"Cecilia And The Satellite","ANDREW MCMAHON IN WILDERNESS",794
"The Only Way Out","BUSH",742
"Gooey","GLASS ANIMALS",728
"Everywhere I Go (Kings &...","NEW POLITICS",615
"Tragedy + Time","RISE AGAINST",599
"Every Other Freckle","ALT-J",581
"Mess Is Mine","VANCE JOY",576
"Bad Habit","KOOKS",560
"Every Breaking Wave","U2",541
"Till It's Gone","YELAWOLF",528
"Weight Of Love","BLACK KEYS",452
"Sound Of Change","DIRTY HEADS",438
"Happy Idiot","TV ON THE RADIO",418
"Da Vinci","WEEZER",416
"Final Masquerade","LINKIN PARK",359
"Somebody New","JOYWAVE",355
"Reflections","MISTERWIVES",339
"Flashed Junk Mind","MILKY CHANCE",305
"Wrong","AIRBORNE TOXIC EVENT",253
"Crystallized","YOUNG THE GIANT",250
"Gold","CHET FAKER",222
"I Am Machine","THREE DAYS GRACE",208
"All This Could Be Yours","COLD WAR KIDS",199
"Same Damn Life","SEETHER",189
"Geronimo","SHEPPARD",173
"The Righteous One","ORWELLS",163
"Hollow Tune","BRICK+MORTAR",130
"All The Time","BAHAMAS",123
"Contagious","NIGHT RIOTS",111
"If You Wanna Stay","GRISWOLDS",110
"Black Soap","EX COPS",109
"Room To Breathe","YOU ME AT SIX",109
"Karaoke","SMALLPOOLS",108
