"Title","Artist","Spins"
"Ride","TWENTY ONE PILOTS",2812
"Trip Switch","NOTHING BUT THIEVES",2506
"Unsteady","X AMBASSADORS",2368
"Spirits","THE STRUMBELLAS",2346
"Mountain At My Gates","FOALS",2270
"Walking On A Dream","EMPIRE OF THE SUN",2207
"Adventure Of A Lifetime","COLDPLAY",2082
"First","COLD WAR KIDS",2044
"Stressed Out","TWENTY ONE PILOTS",1868
"Ophelia","LUMINEERS",1819
"Genghis Khan","MIIKE SNOW",1805
"Mess Around","CAGE THE ELEPHANT",1722
"Kiss This","THE STRUTS",1572
"Gone","JR JR",1476
"Woman Woman","AWOLNATION",1363
"High Dive","ANDREW MCMAHON IN WILDERNESS",1149
"2am","BEAR HANDS",994
"Brazil","DECLAN MCKENNA",974
"Under The Influence","ELLE KING",925
"Give Me A Try","WOMBATS",918
"Destruction","JOYWAVE",761
"Way Down We Go","KALEO",728
"The Sound","THE 1975",623
"Saint Cecilia","FOO FIGHTERS",580
"Soundcheck","CATFISH AND THE BOTTLEMEN",574
"10,000 Emerald Pools","BORNS",550
"Circadian Rhythm (Last Dance)","SILVERSUN PICKUPS",485
"State Of My Head","SHINEDOWN",472
"7 Years","LUKAS GRAHAM",457
"I Need Never Get Old","NATHANIEL RATELIFF/NIGHTSWEATS",449
"HandClap","FITZ & THE TANTRUMS",433
"New Bohemia","TRANSVIOLET",423
"In Your Arms","CHEF'SPECIAL",366
"Work This Body","WALK THE MOON",353
"Good Help (Is So Hard To Find)","DEATH CAB FOR CUTIE",348
"Born Again Teen","LUCIUS",304
"The Sound Of Silence","DISTURBED",302
"Delilah","FLORENCE + THE MACHINE",301
"Gimme The Love","JAKE BUGG",300
"Bloodfeather","HIGHLY SUSPECT",288
"Prayers/Triangles","DEFTONES",253
"Clearest Blue","CHVRCHES",252
"Dancing On Glass","ST. LUCIA",248
"Conqueror","AURORA",245
"The Less I Know The Better","TAME IMPALA",242
"Monster","COLOURS",222
"Switchblade","HOLY WHITE HOUNDS",208
"Stockholm","ATLAS GENIUS",208
"Since You Been Gone","HEAVY",195
"Last Thing On My Mind","JOY FORMIDABLE",193
