"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"+1","LUMINEERS","Ho Hey",1748,22,149,28,10.136,0.364,150,"27",1,1748,197,10.136
2,"+1","MUMFORD & SONS","I Will Wait",1730,27,213,32,8.517,0.184,37,"39",2,1730,1048,8.517
3,"-2","ALEX CLARE","Too Close",1720,-10,-49,-2,10.185,0.01,143,"7",1,1962,260,11.91
4,"=","FUN.","Some Nights",1674,-25,-7,-12,9.924,-0.09,137,"5",1,1772,250,10.165
5,"=","MUSE","Madness",1600,17,190,-17,8.058,0.107,24,"67",5,1600,1204,8.058
6,"=","IMAGINE DRAGONS","It's Time",1504,-12,-3,-10,8.341,-0.075,204,"25",3,1586,229,8.416
7,"=","GREEN DAY","Oh Love",1337,-19,-4,-16,5.964,-0.031,59,"183",2,1676,1355,8.726
8,"=","KILLERS","Runaways",1330,-12,66,-14,5.145,-0.023,65,"162",6,1380,828,5.768
9,"+2","BLACK KEYS","Little Black Submari...",1168,7,72,0,5.008,0.082,93,"250",9,1168,176,5.008
10,"-1","OF MONSTERS AND MEN","Little Talks",1168,-12,32,-26,6.213,0.029,283,"49",1,1759,158,9.215
11,"+1","AWOLNATION","Kill Your Heroes",1137,8,106,-6,4.618,0.026,103,"193",11,1137,132,4.618
12,"-2","LINKIN PARK","Burn It Down",1136,-37,-113,-31,6.232,-0.339,150,"63",1,1740,1245,9.693
13,"=","GASLIGHT ANTHEM","45",1023,4,97,2,4.142,0.051,124,"--",12,1023,121,4.142
14,"=","PASSION PIT","Take A Walk",1002,23,183,11,4.305,0.144,124,"91",14,1002,183,4.305
15,"+1","WOMBATS","Jump Into The Fog",636,11,128,15,2.758,0.094,166,"--",15,636,128,2.758
16,"-1","MORNING PARADE","Headlights",621,-6,114,-13,2.189,0.043,160,"--",15,627,127,2.189
17,"=","RISE AGAINST","Wait For Me",616,6,63,11,2.859,0.039,95,"--",15,616,78,2.859
18,"=","THREE DAYS GRACE","Chalk Outline",596,14,78,15,2.217,-0.016,29,"222",18,596,376,2.233
19,"=","ATLAS GENIUS","Trojans",582,12,46,28,1.969,0.068,128,"--",15,583,121,1.969
20,"=","GROUPLOVE","Itchin' On A Photogr...",575,18,122,13,2.167,0.099,39,"--",20,575,139,2.167
21,"=","YOUNGBLOOD HAWKE","We Come Running",549,11,90,-13,2.641,0.006,42,"--",20,549,133,2.754
22,"=","OFFSPRING","Days Go By",464,-16,-69,-18,2.179,-0.049,138,"--",7,1322,667,5.539
23,"=","LINKIN PARK","Lost In The Echo",460,11,140,-12,1.613,0.019,32,"--",23,460,152,1.613
24,"=","M83","Reunion",414,-5,36,-5,1.549,-0.01,105,"--",23,419,62,1.586
25,"=","TWO DOOR CINEMA CLUB","Sleep Alone",394,5,29,8,1.569,0.082,51,"--",24,397,135,1.569
