"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","MUMFORD & SONS","I Will Wait",1850,"+26",70,"+38",9.428,"+0.142",48,"12",1,1850,1048,9.428
2,"=","LUMINEERS","Ho Hey",1818,"+5",11,"+5",10.59,"+0.043",161,"21",1,1829,197,10.632
3,"=","MUSE","Madness",1795,"-8",99,"-35",9.53,"-0.123",35,"61",3,1803,1204,9.653
4,"=","FUN.","Some Nights",1498,"-11",-103,"+5",8.301,"-0.052",148,"4",1,1772,250,10.165
5,"=","ALEX CLARE","Too Close",1459,"-16",-208,"-4",8.153,"-0.066",154,"5",1,1962,260,11.91
6,"=","BLACK KEYS","Little Black Submari...",1436,"+21",174,"-2",6.925,"+0.151",104,"240",6,1436,176,6.925
7,"=","IMAGINE DRAGONS","It's Time",1425,"+11",-9,"+39",8.649,"+0.228",215,"28",3,1586,229,8.649
8,"+1","AWOLNATION","Kill Your Heroes",1215,"+18",59,"+21",5.16,"+0.072",114,"208",8,1215,132,5.16
9,"-1","KILLERS","Runaways",1200,"-9",-89,"-2",4.796,"+0.007",76,"326",6,1380,828,5.768
10,"=","GREEN DAY","Oh Love",1155,"-34",-142,"-26",4.397,"-0.223",70,"146",2,1676,1355,8.726
11,"+1","PASSION PIT","Take A Walk",1135,"+11",84,"+2",4.801,"-0.010",135,"111",11,1135,183,4.811
12,"+1","GASLIGHT ANTHEM","45",1025,"-4",8,"-3",4.317,"+0.041",135,"--",12,1029,121,4.317
13,"+1","GROUPLOVE","Itchin' On A Photogr...",737,"+20",129,"+12",2.466,"+0.063",50,"--",13,737,139,2.466
14,"+1","RISE AGAINST","Wait For Me",734,"+20",103,"+20",3.319,"+0.074",106,"--",14,734,103,3.319
15,"+1","YOUNGBLOOD HAWKE","We Come Running",721,"+10",98,"-9",3.035,"+0.113",53,"--",14,721,133,3.035
16,"+1","MORNING PARADE","Headlights",705,"+15",83,"+16",2.785,"+0.098",171,"--",15,705,127,2.785
17,"+1","THREE DAYS GRACE","Chalk Outline",699,"+12",44,"-14",2.493,"+0.039",40,"202",15,699,376,2.493
18,"+1","WOMBATS","Jump Into The Fog",685,"+2",25,"-10",2.777,"-0.015",177,"--",14,685,128,2.897
19,"+1","LINKIN PARK","Lost In The Echo",622,"+10",102,"+3",2.801,"+0.076",43,"--",19,622,152,2.801
20,"+1","ATLAS GENIUS","Trojans",611,"+5",15,"+5",2.17,"+0.047",139,"--",15,612,121,2.171
21,"+1","TWO DOOR CINEMA CLUB","Sleep Alone",436,"+2",30,"-2",2.261,"+0.015",62,"--",21,436,135,2.318
22,"+1","M83","Reunion",407,"-3",-4,"-6",1.447,"+0.005",116,"--",22,420,62,1.586
23,"+1","JACK WHITE","Freedom At 21",400,"+6",61,"-7",1.506,"-0.031",53,"--",23,400,90,1.537
24,"+1","SEETHER","Here And Now",306,"+7",21,"+15",1.275,"+0.046",85,"--",24,306,67,1.294
25,"+2","COLDPLAY","Hurts Like Heaven",286,"-2",-26,"+7",0.864,"-0.050",44,"--",25,321,82,1.022
26,"+2","P.O.D.","Lost In Forever",284,"+3",12,"+6",0.891,"+0.011",117,"--",26,301,65,1.588
27,"-1","DEADMAU5 F/GERARD WA...","Professional Griefer...",283,"-6",-7,"-13",0.931,"-0.008",39,"--",26,293,74,0.942
28,"+1","OF MONSTERS AND MEN","Mountain Sound",278,"+25",99,"+25",1.402,"+0.066",38,"291",28,278,99,1.402
29,"+2","STONE SOUR","Absolute Zero",253,"+12",56,"+13",0.617,"+0.025",27,"--",29,253,77,0.617
30,"=","SLIGHTLY STOOPID","Top Of The World",250,"+7",16,"+10",1.23,"-0.010",58,"--",27,321,120,1.772
31,"+1","SILVERSUN PICKUPS","The Pit",248,"+7",32,"+8",0.891,"-0.003",27,"--",30,248,90,1.055
32,"+1","IMAGINE DRAGONS","Radioactive",244,"+9",27,"+11",1.032,"+0.035",33,"101",31,244,73,1.032
33,"+7","GREEN DAY","Let Yourself Go",220,"+34",162,"+30",1.309,"+0.173",4,"--",33,220,162,1.309
34,"+2","METRIC","Breathing Underwater",214,"+10",108,"+1",0.559,"+0.035",8,"--",34,214,111,0.559
35,"-1","PAPA ROACH","Still Swingin",214,"-8",-3,"-12",0.589,"-0.026",51,"--",31,225,74,0.617
36,"+1","HEAVY","What Makes A Good Ma...",208,"+8",20,"+6",0.521,"+0.063",32,"--",36,208,38,0.521
37,"-2","ELLIE GOULDING","Lights",204,"-8",-22,"-8",0.736,"-0.023",80,"35",26,291,61,1.582
38,"=","CHURCHILL","Change",202,"+4",5,"+14",0.788,"+0.011",28,"--",35,219,89,0.831
39,"=","ANBERLIN","Someone Anyone",196,"+1",35,"-2",0.481,"-0.001",14,"--",39,196,86,0.482
40,"+1","DIRTY HEADS","Dance All Night f/Ma...",186,"+5",12,"+9",0.428,"+0.018",46,"--",38,186,72,0.428
41,"+1","SWITCHFOOT","Original",174,"+10",44,"+3",0.377,"+0.028",11,"--",41,174,48,0.377
42,"+2","NEON TREES","Lessons In Love (All...",159,"+7",34,"+7",0.538,"+0.034",15,"--",42,159,61,0.538
43,"+2","WALK THE MOON","Tightrope",151,"+11",53,"+3",0.464,"+0.020",7,"--",43,151,59,0.464
44,"+4","OFFSPRING","Turning Into You",144,"+11",59,"+10",0.278,"+0.026",2,"--",44,144,59,0.278
45,"+2","FLORENCE + THE MACHI...","Spectrum",140,"+3",5,"+8",0.45,"+0.010",25,"--",43,141,34,0.485
46,"=","FIVE FINGER DEATH PU...","Coming Down",133,"-5",-3,"-2",0.414,"-0.027",76,"400",41,148,45,0.506
47,"+2","XX","Chained",126,"+2",17,"-3",0.277,"-0.001",12,"--",47,126,27,0.305
48,"--","FLYLEAF","New Horizons",115,"--",8,"--",0.282,"--",10,"--",48,122,29,0.301
49,"--","PAPER TONGUES","Amen",107,"--",6,"--",0.433,"--",9,"--",48,107,37,0.445
50,"--","MATT AND KIM","Let's Go",105,"--",-9,"--",0.16,"--",30,"--",45,120,23,0.257
