"Title","Artist","Spins"
"Radioactive","IMAGINE DRAGONS",2128
"Stubborn Love","LUMINEERS",1721
"Mountain Sound","OF MONSTERS AND M...",1680
"The Pit","SILVERSUN PICKUPS",1477
"Lover Of The Ligh...","MUMFORD & SONS",1437
"Madness","MUSE",1368
"Safe And Sound","CAPITAL CITIES",1305
"Panic Station","MUSE",1301
"Trojans","ATLAS GENIUS",1292
"Up In The Air","THIRTY SECONDS TO...",1287
"Sweater Weather","NEIGHBOURHOOD",1282
"My Songs Know Wha...","FALL OUT BOY",1092
"Entertainment","PHOENIX",1090
"Timeless","AIRBORNE TOXIC EV...",886
"San Francisco","THE MOWGLI'S",771
"Hero","FAMILY OF THE YEA...",717
"Carried Away","PASSION PIT",663
"Holding On To You","TWENTY ONE PILOTS",662
"Inhaler","FOALS",632
"Breezeblocks","ALT-J",585
"Now","PARAMORE",554
"Harlem","NEW POLITICS",498
"Out Of My League","FITZ & THE TANTRU...",494
"Down The Road","C2C",444
"Recovery","FRANK TURNER",443
"Diane Young","VAMPIRE WEEKEND",431
"Black Chandelier","BIFFY CLYRO",329
"The High Road","THREE DAYS GRACE",325
"Castle Of Glass","LINKIN PARK",274
"Dead Man's Shoes","THE VIRGINMARYS",269
"If So","ATLAS GENIUS",222
"Soothe My Soul","DEPECHE MODE",219
"Sacrilege","YEAH YEAH YEAHS",210
"Where Will We Go","IAMDYNAMITE",203
"Miracle Mile","COLD WAR KIDS",194
"Hollow","ALICE IN CHAINS",190
"Aunt Betty","MIDDLE CLASS RUT",188
"Global Concepts","ROBERT DELONG",185
"Same Love f/Mary ...","MACKLEMORE & RYAN...",183
"A Tattered Line O...","POSTAL SERVICE",181
"Demons","IMAGINE DRAGONS",178
"All The Time","STROKES",176
"I Love Lamp","RDGLDGRN",170
"From Can To Can't","COREY TAYLOR/DAVE...",169
"Home","PHILLIP PHILLIPS",166
"X-Kid","GREEN DAY",158
"Before I Die","PAPA ROACH",146
"Sex","1975",142
"I'll Follow You","SHINEDOWN",137
"By Crooked Steps","SOUNDGARDEN",129
