"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","MUSE","Madness",2067,9,12,16,12.046,0.034,129,"84",1,2336,1204,14.318
2,"=","BLACK KEYS","Little Black Subm...",1953,16,73,-12,11.163,0.17,198,"252",2,1953,189,11.163
3,"=","MUMFORD & SONS","I Will Wait",1864,8,-56,2,12.015,0.039,142,"44",1,2257,1048,14.172
4,"+1","ATLAS GENIUS","Trojans",1684,18,8,23,9.234,0.059,233,"--",4,1685,202,9.234
5,"-1","LUMINEERS","Ho Hey",1680,4,-53,10,10.862,-0.044,255,"3",1,1976,197,12.963
6,"=","IMAGINE DRAGONS","Radioactive",1423,-11,16,-41,6.414,0.03,127,"47",6,1444,187,6.532
7,"=","PASSION PIT","Take A Walk",1295,2,-92,16,8.035,0.044,229,"188",5,1837,183,9.469
8,"=","OF MONSTERS AND M...","Mountain Sound",1216,1,-15,-2,5.759,-0.041,132,"185",8,1242,156,5.8
9,"=","SILVERSUN PICKUPS","The Pit",1136,20,6,26,4.54,0.2,121,"--",9,1137,194,4.73
10,"=","AWOLNATION","Kill Your Heroes",1136,30,-32,56,5.398,0.224,208,"--",6,1340,132,6.892
11,"=","FUN.","Carry On",1089,29,100,40,5.822,0.225,81,"178",11,1089,138,5.822
12,"=","YOUNGBLOOD HAWKE","We Come Running",1020,-1,-107,26,4.58,0.106,147,"--",7,1302,136,6.748
13,"=","THREE DAYS GRACE","Chalk Outline",664,13,-22,26,3.16,0.013,134,"264",13,789,376,3.964
14,"=","GREEN DAY","Let Yourself Go",647,5,-45,22,3.179,-0.024,98,"--",13,804,219,3.861
15,"=","METRIC","Breathing Underwa...",629,17,-5,25,2.433,0.074,102,"--",15,670,111,2.694
16,"=","SOUNDGARDEN","Been Away Too Lon...",611,10,-46,20,2.451,0.053,91,"--",13,787,597,3.442
17,"=","MACKLEMORE & RYAN...","Thrift Shop f/Wan...",570,8,47,-2,3.551,-0.016,61,"6",17,570,103,3.567
18,"=","WALK THE MOON","Tightrope",565,5,-19,5,2.078,-0.025,101,"--",17,584,85,2.357
19,"=","CHURCHILL","Change",553,0,3,-2,1.867,0.038,120,"--",18,555,96,1.947
20,"=","GROUPLOVE","Itchin' On A Phot...",536,9,-80,37,1.646,0.012,144,"--",10,1189,139,5.17
21,"=","DEFTONES","Tempest",493,7,35,-7,1.696,0.077,74,"--",21,493,93,1.696
22,"=","JOY FORMIDABLE","This Ladder Is Ou...",484,15,4,28,1.484,0.071,81,"--",21,495,73,1.484
23,"+1","LUMINEERS","Stubborn Love",457,3,49,-12,1.956,0.006,52,"98",23,457,91,1.97
24,"+1","MATT AND KIM","Let's Go",455,3,-8,13,2.084,0.002,120,"--",22,503,99,2.084
25,"-2","TWO DOOR CINEMA C...","Sleep Alone",445,-10,-34,-21,1.816,-0.012,156,"--",19,643,135,3.181
26,"=","KILLERS","Miss Atomic Bomb",412,6,11,7,1.588,0.075,66,"--",24,461,106,2.285
27,"+1","ALT-J","Fitzpleasure",376,10,31,7,1.94,-0.003,85,"--",27,376,62,1.972
28,"-1","DROPKICK MURPHYS","Season's Upon Us",356,-35,65,-51,2.601,-0.296,24,"180",27,391,124,2.897
29,"=","TEGAN & SARA","Closer",344,2,-18,0,1.938,0.016,67,"--",27,362,68,2.274
30,"+1","NEIGHBOURHOOD","Sweater Weather",329,6,64,-3,1.251,0.028,26,"--",30,329,87,1.251
31,"-1","CAPITAL CITIES","Safe And Sound",327,1,5,2,1.153,-0.01,64,"--",29,332,77,1.32
32,"=","BLONDFIRE","Where The Kids Ar...",322,8,-7,17,0.955,0.03,90,"--",27,381,67,1.088
33,"=","SHINEDOWN","Enemies",303,2,13,1,1.509,0.061,87,"--",32,303,42,1.509
34,"+1","ALEX CLARE","Up All Night",287,14,79,8,0.682,0.069,21,"--",34,287,83,0.682
35,"-1","LINKIN PARK","Lost In The Echo",286,4,-14,20,1.38,0.006,137,"--",11,1052,152,5.578
36,"+3","PASSION PIT","Carried Away",270,16,69,12,0.978,0.085,25,"--",36,270,71,0.978
37,"-1","GOLD FIELDS","Dark Again",264,-4,44,-10,0.901,0.021,53,"--",35,268,59,0.901
38,"-1","IAMDYNAMITE","Where Will We Go",260,1,8,7,1.149,-0.008,62,"--",34,263,59,1.204
39,"-1","NEON TREES","Lessons In Love (...",260,3,-2,11,1,0.002,109,"--",29,305,76,1.498
40,"=","MUMFORD & SONS","Lover Of The Ligh...",258,9,63,-9,0.878,0.012,14,"--",40,258,108,0.878
41,"=","TWENTY ONE PILOTS","Holding On To You",250,5,35,-1,0.883,0.005,28,"--",40,250,66,0.896
42,"=","PHILLIP PHILLIPS","Home",230,-4,-31,-2,0.883,-0.012,60,"9",34,265,54,1.275
43,"=","DIRTY HEADS","Dance All Night f...",227,-4,-27,-8,0.863,0.006,140,"--",26,311,72,0.905
44,"=","JACK WHITE","Freedom At 21",210,1,-32,13,1.277,0.05,147,"--",22,477,90,2.616
45,"=","FAMILY OF THE YEA...","Hero",205,0,4,-6,1.011,0.007,45,"--",42,212,49,1.23
46,"=","THE MOWGLI'S","San Francisco",189,3,50,-10,0.808,0.031,12,"--",46,189,62,0.808
47,"=","AVENGED SEVENFOLD","Carry On",142,7,-9,18,0.359,0.027,70,"346",42,164,40,0.434
48,"=","WILLY MOON","Yeah Yeah",126,0,-6,0,0.257,-0.003,13,"159",47,132,42,0.31
49,"=","GASLIGHT ANTHEM","Here Comes My Man",123,0,13,-1,0.277,0.002,26,"--",46,123,51,0.299
50,"=","PAPA ROACH","Before I Die",114,-1,32,-15,0.36,-0.012,3,"--",50,115,55,0.372
