"Title","Artist","Spins"
"Walker","FITZ & THE TANTRUMS",2343
"Come With Me Now","KONGOS",2313
"Do I Wanna Know?","ARCTIC MONKEYS",2038
"Bad Blood","BASTILLE",2009
"Fever","BLACK KEYS",1990
"Fall In Love","PHANTOGRAM",1883
"Come A Little Closer","CAGE THE ELEPHANT",1382
"Magic","COLDPLAY",1304
"I Wanna Get Better","BLEACHERS",1211
"Giants","BEAR HANDS",1172
"Team","LORDE",1146
"Sleeping With A Friend","NEON TREES",1139
"Wait For Me","KINGS OF LEON",1006
"Coming Of Age","FOSTER THE PEOPLE",796
"Why'd You Only Call Me When...","ARCTIC MONKEYS",777
"Thunder Clatter","WILD CUB",712
"Glory And Gore","LORDE",710
"Guilty All The Same","LINKIN PARK",654
"Best Day Of My Life","AMERICAN AUTHORS",631
"Shark Attack","GROUPLOVE",581
"Take It Or Leave It","CAGE THE ELEPHANT",513
"Doses & Mimosas","CHERUB",449
"Cardiac Arrest","BAD SUNS",432
"Dangerous f/Joywave","BIG DATA",421
"Take Out The Gunman","CHEVELLE",420
"Waves","SLEEPER AGENT",415
"Who Needs You","ORWELLS",411
"Gold","SIR SLY",353
"Bridges","BROODS",347
"Lanterns","BIRDS OF TOKYO",334
"Think Of You","MS MR",311
"Reverse","SOMEKINDAWONDERFUL",291
"Deadbolt","SKATERS",284
"Blue Moon","BECK",280
"Out Of The Black","ROYAL BLOOD",276
"Alienation","MORNING PARADE",268
"Locked In A Cage","BRICK+MORTAR",253
"Best Friend","FOSTER THE PEOPLE",241
"Paris","MAGIC MAN",231
"Heaven Knows","PRETTY RECKLESS",214
"This Is Gospel","PANIC! AT THE DISCO",211
"Take It As It Comes","J. RODDY WALSTON/THE BUSINESS",183
"White Lies","MAX FROST",179
"Riptide","VANCE JOY",174
"One Minute More","CAPITAL CITIES",172
"Aviation High","SEMI PRECIOUS WEAPONS",146
"Let Her Go","PASSENGER",140
"Five Of Everything","311",136
"Shake","HEAD AND THE HEART",119
"Painkiller","THREE DAYS GRACE",108
