"Title","Artist","Spins"
"Madness","MUSE",2020
"I Will Wait","MUMFORD & SONS",1739
"Little Black Subm...","BLACK KEYS",1707
"Trojans","ATLAS GENIUS",1692
"Ho Hey","LUMINEERS",1630
"Radioactive","IMAGINE DRAGONS",1570
"Mountain Sound","OF MONSTERS AND M...",1366
"Carry On","FUN.",1220
"Take A Walk","PASSION PIT",1207
"The Pit","SILVERSUN PICKUPS",1157
"Kill Your Heroes","AWOLNATION",1013
"Stubborn Love","LUMINEERS",796
"Tightrope","WALK THE MOON",747
"Breathing Underwa...","METRIC",721
"Thrift Shop f/Wan...","MACKLEMORE & RYAN...",684
"Change","CHURCHILL",596
"Been Away Too Lon...","SOUNDGARDEN",550
"Tempest","DEFTONES",531
"Lover Of The Ligh...","MUMFORD & SONS",525
"Let Yourself Go","GREEN DAY",498
"Safe And Sound","CAPITAL CITIES",483
"Sweater Weather","NEIGHBOURHOOD",458
"This Ladder Is Ou...","JOY FORMIDABLE",435
"Let's Go","MATT AND KIM",426
"Miss Atomic Bomb","KILLERS",413
"Hero","FAMILY OF THE YEA...",355
"Sleep Alone","TWO DOOR CINEMA C...",337
"Up All Night","ALEX CLARE",334
"Enemies","SHINEDOWN",322
"San Francisco","THE MOWGLI'S",320
"Carried Away","PASSION PIT",317
"Holding On To You","TWENTY ONE PILOTS",297
"Fitzpleasure","ALT-J",293
"Closer","TEGAN & SARA",284
"Lessons In Love (...","NEON TREES",268
"Panic Station","MUSE",259
"Hollow","ALICE IN CHAINS",257
"Where The Kids Ar...","BLONDFIRE",252
"Inhaler","FOALS",230
"Where Will We Go","IAMDYNAMITE",223
"Home","PHILLIP PHILLIPS",221
"Hold On","ALABAMA SHAKES",209
"Dark Again","GOLD FIELDS",189
"Carry On","AVENGED SEVENFOLD",181
"Yeah Yeah","WILLY MOON",176
"The High Road","THREE DAYS GRACE",171
"Freedom At 21","JACK WHITE",163
"Dance All Night f...","DIRTY HEADS",162
"Boys Are Back","DROPKICK MURPHYS",144
"Timeless","AIRBORNE TOXIC EV...",141
