"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","BLACK KEYS Lonely Boy",2143,"-8",-17,"-5",10.785,"+0.047",94,"--",1,2170,963,11.053
2,"=","FOO FIGHTERS These Days",1669,"-14",3,"-16",8.088,"-0.010",132,"557",2,1683,204,8.614
3,"=","YOUNG THE GIANT Cough Syrup",1472,"+11",-4,"+18",6.554,"-0.023",208,"249",2,1548,155,7.059
4,"=","COLDPLAY Paradise",1259,"+5",-62,"+35",6.459,"-0.010",136,"23",1,1757,369,8.687
5,"=","GOTYE Somebody That I Used To Know",1254,"+34",242,"-4",6.605,"+0.073",55,"--",5,1254,270,6.605
6,"=","RED HOT CHILI PEPPERS Monarchy Of Roses",1148,"-19",-135,"-14",4.525,"-0.042",104,"--",5,1307,191,5.466
7,"=","CAGE THE ELEPHANT Aberdeen",1118,"-21",-8,"-19",4.441,"-0.001",146,"--",6,1164,191,4.457
8,"+1","AWOLNATION Not Your Fault",1104,"+17",107,"+12",3.83,"-0.002",122,"226",8,1104,122,3.832
9,"-1","CHEVELLE Face To The Floor",1088,"-6",41,"-18",5.263,"-0.102",120,"--",8,1094,275,5.372
10,"+1","FOSTER THE PEOPLE Don't Stop (Color On T...",1049,"+11",35,"+4",4.118,"+0.092",92,"80",10,1049,213,4.186
11,"-1","BUSH The Sound Of Winter",1047,"-14",-82,"-13",6.127,"-0.293",188,"502",1,1806,344,9.58
12,"=","BLINK 182 After Midnight",1018,"-16",-41,"-22",4.29,"-0.176",118,"1012",8,1064,147,4.66
13,"=","RISE AGAINST Satellite",969,"+11",62,"+3",4.457,"+0.068",85,"822",13,969,189,4.457
14,"+1","FLORENCE + THE MACHINE Shake It Out",901,"-7",-13,"-19",4.534,"-0.087",116,"--",13,925,148,4.817
15,"-1","SWITCHFOOT Dark Horses",882,"-29",-147,"-31",3.266,"-0.050",183,"--",5,1247,121,4.784
16,"=","FUN We Are Young",844,"+40",178,"+36",3.712,"+0.266",69,"36",16,844,178,3.712
17,"=","GROUPLOVE Tongue Tied",705,"+5",35,"-4",2.931,"+0.010",49,"213",17,705,194,3.011
18,"=","M83 Midnight City",596,"+24",146,"+13",3.275,"+0.132",60,"119",18,596,146,3.275
19,"=","SHINEDOWN Bully",536,"+7",4,"+11",2.094,"-0.018",23,"189",18,540,360,2.133
20,"=","KORN F/SKRILLEX/KILL THE NOISE Narcissis...",466,"-11",-22,"-19",1.633,"-0.018",102,"--",20,488,106,2.003
21,"=","NEON TREES Everybody Talks",459,"+12",49,"+7",1.46,"+0.033",48,"--",21,459,183,1.46
22,"+1","CAKE Mustache Man (Wasted)",428,"+0",5,"-7",1.062,"+0.056",88,"--",22,439,87,1.076
23,"-1","NAKED AND FAMOUS Punching In A Dream",418,"-19",-115,"-10",1.375,"-0.040",164,"517",17,660,105,2.181
24,"=","SHINS Simple Song",381,"+12",54,"+8",1.323,"+0.030",17,"609",24,381,282,1.399
25,"=","OF MONSTERS AND MEN Little Talks",371,"+11",43,"+5",1.321,"+0.016",54,"--",25,371,114,1.321
26,"=","JANE'S ADDICTION Underground",353,"+5",0,"+4",0.639,"+0.049",73,"--",24,367,106,0.678
27,"=","JOY FORMIDABLE Heavy Abacus",332,"+5",26,"+7",0.77,"+0.005",71,"--",27,332,78,0.908
28,"=","AVENGED SEVENFOLD Buried Alive",231,"+1",5,"-1",0.747,"-0.007",120,"660",28,273,46,0.78
29,"+1","BAND OF SKULLS Sweet Sour",226,"+10",19,"+12",0.716,"+0.046",39,"--",29,226,64,0.716
30,"-1","ADELE Set Fire To The Rain",224,"-2",8,"+1",0.569,"+0.009",63,"2",28,257,84,0.666
31,"=","VOLBEAT A Warrior's Call",203,"+5",22,"+1",0.505,"-0.009",40,"219",31,203,46,0.519
32,"=","COLDPLAY Charlie Brown",186,"+12",69,"+0",0.667,"-0.033",13,"--",32,186,69,0.7
33,"=","SILVERSUN PICKUPS Broken Bottles",174,"+6",-1,"+15",0.34,"+0.013",47,"--",32,194,73,0.822
34,"+2","BUSH Baby Come Home",167,"+18",98,"+12",0.512,"+0.140",5,"--",34,167,98,0.512
35,"-1","A DAY TO REMEMBER It's Complicated",163,"-1",7,"-7",0.493,"+0.009",64,"--",33,164,34,0.493
36,"-1","FIVE FINGER DEATH PUNCH Remember Everyth...",156,"+1",4,"+0",0.469,"-0.006",53,"273",33,161,51,0.486
37,"=","SLEEPER AGENT Get Burned",145,"+2",36,"-3",0.295,"+0.009",12,"--",36,145,39,0.295
38,"=","BLACK KEYS Gold On The Ceiling",142,"+12",38,"+9",0.597,"+0.064",10,"728",38,142,38,0.61
39,"=","KASABIAN Days Are Forgotten",132,"+6",5,"+13",0.2,"+0.013",99,"--",35,159,41,0.272
40,"=","DEATH CAB FOR CUTIE Underneath The Sycam...",126,"+7",38,"+7",0.307,"-0.004",17,"--",40,126,38,0.333
41,"+1","USED I Come Alive",123,"+6",36,"+7",0.237,"+0.021",5,"--",41,123,36,0.237
42,"-1","MIDDLE CLASS RUT Are You On Your Way",122,"+4",18,"+3",0.279,"+0.001",12,"--",40,122,56,0.284
43,"=","BOMBAY BICYCLE CLUB Shuffle",119,"+4",19,"+3",0.187,"-0.003",25,"--",42,119,20,0.213
44,"=","STAIND Eyes Wide Open",112,"+2",18,"+2",0.277,"-0.003",39,"--",41,116,27,0.468
45,"=","ADELITAS WAY Collapse",108,"+0",14,"-5",0.23,"+0.000",8,"--",45,108,19,0.23
46,"=","311 Count Me In",105,"-2",-22,"+8",0.36,"-0.026",105,"--",29,234,77,0.92
