"Title","Artist","Spins"
"Stolen Dance","MILKY CHANCE",2937
"Riptide","VANCE JOY",2680
"Left Hand Free","ALT-J",2176
"Take Me To Church","HOZIER",2119
"Dangerous f/Joywave","BIG DATA",2019
"Back To The Shack","WEEZER",1960
"Flaws","BASTILLE",1645
"My Sweet Summer","DIRTY HEADS",1574
"Gotta Get Away","BLACK KEYS",1425
"Centuries","FALL OUT BOY",1349
"Trainwreck 1979","DEATH FROM ABOVE 1979",1284
"I'm Only Joking","KONGOS",1242
"A Sky Full Of Stars","COLDPLAY",1203
"Weekend","PRIORY",1104
"Yellow Flicker Beat","LORDE",1100
"Mind Over Matter","YOUNG THE GIANT",1081
"Cigarette Daydreams","CAGE THE ELEPHANT",839
"Habits (Stay High)","TOVE LO",808
"Desire","MEG MYERS",807
"Agora","BEAR HANDS",739
"Rollercoaster","BLEACHERS",726
"Do Or Die","THIRTY SECONDS TO MARS",668
"Fools Gold","FITZ & THE TANTRUMS",644
"R U Mine?","ARCTIC MONKEYS",629
"Everywhere I Go (Kings &...","NEW POLITICS",559
"I Don't Want To Be Here ...","RISE AGAINST",541
"Beware The Dog","GRISWOLDS",529
"The Only Way Out","BUSH",527
"Shut Up And Dance","WALK THE MOON",507
"All The Rage Back Home","INTERPOL",476
"Beggin For Thread","BANKS",439
"Tongues","JOYWAVE",357
"Heart And Soul","TWIN ATLANTIC",338
"Cool Kid","THE EERIES",334
"The Miracle (Of Joey Ramone)","U2",333
"Figure It Out","ROYAL BLOOD",327
"All Of The People","PANAMA WEDDING",296
"Would You Fight For My Love?","JACK WHITE",286
"Do You","SPOON",276
"Work It Out","KNOX HAMILTON",258
"Budapest","GEORGE EZRA",252
"Mother & Father","BROODS",244
"Cecilia And The Satellite","ANDREW MCMAHON IN WILDERNESS",234
"Cool Kids","ECHOSMITH",224
"Gooey","GLASS ANIMALS",223
"Happy Idiot","TV ON THE RADIO",199
"Bad Habit","KOOKS",192
"Room To Breathe","YOU ME AT SIX",169
"Silhouettes","COLONY HOUSE",160
"All This Could Be Yours","COLD WAR KIDS",135
