"Title","Artist","Spins"
"Radioactive","IMAGINE DRAGONS",2101
"Stubborn Love","LUMINEERS",1573
"Panic Station","MUSE",1555
"Sweater Weather","NEIGHBOURHOOD",1511
"Up In The Air","THIRTY SECONDS TO...",1509
"Mountain Sound","OF MONSTERS AND M...",1495
"Safe And Sound","CAPITAL CITIES",1479
"Lover Of The Ligh...","MUMFORD & SONS",1443
"My Songs Know Wha...","FALL OUT BOY",1233
"Madness","MUSE",1229
"Entertainment","PHOENIX",1160
"San Francisco","THE MOWGLI'S",902
"Hero","FAMILY OF THE YEA...",870
"Holding On To You","TWENTY ONE PILOTS",859
"Harlem","NEW POLITICS",729
"Breezeblocks","ALT-J",728
"Out Of My League","FITZ & THE TANTRU...",643
"Inhaler","FOALS",639
"Diane Young","VAMPIRE WEEKEND",638
"Recovery","FRANK TURNER",590
"Carried Away","PASSION PIT",535
"Timeless","AIRBORNE TOXIC EV...",518
"Down The Road","C2C",474
"The High Road","THREE DAYS GRACE",389
"My God Is The Sun","QUEENS OF THE STO...",371
"Same Love f/Mary ...","MACKLEMORE & RYAN...",353
"Black Chandelier","BIFFY CLYRO",350
"Demons","IMAGINE DRAGONS",347
"Soothe My Soul","DEPECHE MODE",336
"Castle Of Glass","LINKIN PARK",290
"Miracle Mile","COLD WAR KIDS",280
"If So","ATLAS GENIUS",278
"Dead Man's Shoes","THE VIRGINMARYS",267
"Aunt Betty","MIDDLE CLASS RUT",205
"I'll Follow You","SHINEDOWN",196
"Sacrilege","YEAH YEAH YEAHS",183
"Sex","1975",175
"From Can To Can't","COREY TAYLOR/DAVE...",172
"Global Concepts","ROBERT DELONG",154
"I Love Lamp","RDGLDGRN",147
"Cabin By The Sea","DIRTY HEADS",142
"This Disorder","FEATURES",141
"I Will Steal You ...","JIMMY EAT WORLD",140
"Before I Die","PAPA ROACH",139
"Demon To Lean On","WAVVES",132
"Get Lucky","DAFT PUNK",129
"All The Time","STROKES",129
"From Nowhere","DAN CROLL",125
"Follow My Feet","UNLIKELY CANDIDAT...",122
"Awkward","SAN CISCO",121
