"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","FOO FIGHTERS Rope",1908,"+8",-38,"+25",11.809,"+0.111",15,1,2006,0,11.809
2,"=","FOSTER THE PEOPLE Pumped Up Kicks",1532,"+19",98,"+16",7.691,"+0.089",15,2,1532,98,7.691
3,"=","DEATH CAB FOR CUTIE You Are A Tourist",1376,"-19",38,"-42",6.127,"-0.097",15,3,1395,101,6.53
4,"=","RISE AGAINST Help Is On The Way",1367,"-21",-118,"-25",7.07,"+0.054",15,2,1492,69,7.451
5,"=","BLACK KEYS Howlin' For You",1334,"-6",-120,"+13",5.713,"-0.184",15,2,1525,22,6.937
6,"=","INCUBUS Adolescents",1329,"+16",2,"+14",6.75,"+0.147",15,6,1331,57,7.024
7,"=","MUMFORD & SONS The Cave",1290,"+0",-119,"+10",7.063,"-0.062",15,3,1450,15,7.488
8,"=","AIRBORNE TOXIC EVENT Changing",1278,"-6",-26,"-13",5.18,"+0.003",15,8,1304,87,5.581
9,"=","CAGE THE ELEPHANT Shake Me Down",1129,"-18",-48,"-30",6.848,"-0.009",15,9,1181,8,7.17
10,"=","BEASTIE BOYS Make Some Noise",1110,"-19",-118,"-15",4.008,"-0.158",15,9,1232,29,4.945
11,"=","AWOLNATION Sail",1067,"+6",70,"+7",4.173,"+0.074",15,11,1067,97,4.173
12,"=","SUBLIME WITH ROME Panic",1030,"+35",294,"-13",4.901,"+0.143",15,12,1030,513,4.901
13,"=","YOUNG THE GIANT My Body",951,"-6",-91,"-6",4.203,"+0.032",15,11,1149,0,4.668
14,"=","NAKED AND FAMOUS Young Blood",884,"-6",2,"-11",2.922,"+0.003",15,14,891,57,2.922
15,"=","SEETHER Country Song",879,"-2",-31,"+2",4.339,"+0.044",15,13,914,49,4.448
16,"=","SICK PUPPIES Riptide",740,"+3",11,"+5",2.895,"+0.057",15,16,740,41,2.895
17,"=","REDLIGHT KING Old Man",549,"+16",82,"+8",2.676,"+0.077",15,17,549,82,2.676
18,"=","ADELE Rolling In The Deep",514,"+2",12,"+5",3.121,"+0.028",15,17,522,26,3.121
19,"=","LINKIN PARK Iridescent",479,"+3",42,"+4",2.179,"+0.026",15,19,479,114,2.179
20,"=","MY CHEMICAL ROMANCE Bulletproof Heart",479,"+8",23,"+11",1.268,"+0.047",15,19,479,66,1.268
21,"=","DANGER MOUSE & DANIELE LUPPI Two Against...",455,"-8",8,"-25",2.061,"-0.094",15,19,465,71,2.155
22,"+1","JOY FORMIDABLE Whirring",453,"+6",21,"-5",1.328,"+0.015",15,22,453,55,1.341
23,"-1","THREE DAYS GRACE Lost In You",439,"-9",7,"-15",1.317,"-0.040",15,18,449,22,1.452
24,"=","NEON TREES Your Surrender",393,"+3",47,"+4",1.248,"+0.049",15,24,393,49,1.328
25,"+1","PANIC AT THE DISCO The Ballad Of Mona Li...",341,"+2",19,"+3",1.609,"+0.006",15,25,341,19,1.683
26,"+1","TWO DOOR CINEMA CLUB What You Know",337,"+10",53,"+10",1.112,"+0.044",15,26,337,53,1.112
27,"-2","PAPA ROACH Burn",332,"-9",-67,"-3",1.981,"+0.103",15,25,405,41,2.055
28,"=","CAGE THE ELEPHANT Around My Head",321,"+2",73,"-14",1.119,"-0.019",15,28,321,103,1.138
29,"=","AVENGED SEVENFOLD So Far Away",298,"+8",24,"+6",0.912,"+0.000",15,29,298,24,0.924
30,"=","CAKE Long Time",288,"-2",-22,"-2",0.946,"-0.016",15,28,312,22,1.13
31,"=","STROKES Under Cover Of Darkness",276,"-3",-11,"+1",0.874,"+0.011",15,18,452,0,1.234
32,"=","BIFFY CLYRO Many Of Horror",247,"-1",-16,"-3",0.893,"+0.009",15,31,264,22,0.919
33,"=","BAYSIDE Sick Sick Sick",246,"+3",39,"+0",0.534,"-0.012",15,33,246,39,0.546
34,"=","LYKKE LI Get Some",221,"+8",10,"+10",0.76,"-0.030",15,34,221,40,1.009
35,"=","DISTURBED Warrior",200,"+0",-1,"+1",0.844,"-0.028",15,35,204,41,0.872
36,"=","TV ON THE RADIO Will Do",199,"+2",5,"+3",0.567,"+0.001",15,36,199,44,0.587
37,"=","SIXX A.M. Lies Of The Beautiful People",186,"-2",10,"-5",0.718,"-0.035",15,37,188,26,0.753
38,"=","KORN Get Up f/Skrillex",184,"-3",26,"-11",0.715,"-0.021",15,38,187,46,0.736
39,"=","MANCHESTER ORCHESTRA April Fool",182,"-1",6,"-3",0.34,"+0.007",15,39,183,23,0.34
40,"=","MY MORNING JACKET Holdin On To Black Met...",163,"+3",36,"-2",0.678,"+0.019",15,40,163,43,0.678
41,"=","MUMFORD & SONS Roll Away Your Stone",147,"+10",56,"+7",0.294,"+0.022",4,41,147,56,0.294
42,"+1","COMPANY OF THIEVES Death Of Communicatio...",135,"+4",10,"+5",0.323,"+0.039",15,42,135,15,0.323
43,"-1","FUNERAL PARTY Finale",132,"-4",-17,"-8",0.161,"-0.016",15,41,151,11,0.231
46,"-2","SUM 41 Screaming Bloody Murder",124,"-5",-47,"-1",0.813,"+0.024",15,37,191,0,1.115
44,"+2","ADELITAS WAY Sick",124,"+0",16,"+0",0.287,"-0.014",11,44,124,16,0.325
45,"=","MIDDLE CLASS RUT Busy Bein' Born",124,"-1",11,"-1",0.394,"-0.013",11,45,125,46,0.407
47,"=","SHE WANTS REVENGE Must Be The One",122,"+0",14,"-5",0.24,"-0.009",11,46,122,19,0.261
48,"--","10 YEARS Fix Me",119,"--",33,"--",0.661,"--",1,48,119,33,0.661
49,"+1","COLD WAR KIDS Skip The Charades",118,"+9",32,"-1",0.265,"+0.005",3,49,118,40,0.265
50,"-2","KINGS OF LEON Back Down South",117,"-1",52,"-6",0.22,"+0.003",4,48,118,58,0.22
