"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","FOSTER THE PEOPLE Pumped Up Kicks",1693,8,-10,20,8.006,0.042,44,1,1715,265,8.511
2,"=","DEATH CAB FOR CUTIE You Are A Tourist",1644,12,51,5,7.466,0.056,44,2,1644,226,7.466
3,"=","INCUBUS Adolescents",1432,-1,7,-5,8.224,0.099,44,3,1433,162,8.791
4,"=","FOO FIGHTERS Rope",1307,-12,-132,14,9.011,-0.21,44,1,2006,128,12.051
5,"=","SUBLIME WITH ROME Panic",1294,-14,10,-28,6.15,-0.178,44,5,1321,513,6.557
6,"=","AIRBORNE TOXIC EVENT Changing",1285,-3,10,0,5.025,0.096,44,5,1304,191,5.581
7,"=","COLDPLAY Every Teardrop Is A Waterfall",1203,8,145,-17,6.647,-0.007,21,7,1203,829,6.654
8,"+1","AWOLNATION Sail",1096,10,50,25,4.029,0.072,44,8,1114,130,4.715
9,"-1","MUMFORD & SONS The Cave",1085,-7,-68,-8,5.752,-0.141,44,3,1450,89,7.488
10,"=","RISE AGAINST Help Is On The Way",1064,1,-43,12,5.396,-0.075,44,2,1492,103,7.451
11,"=","BLACK KEYS Howlin' For You",1020,8,-92,32,4.779,0.121,44,2,1525,146,6.937
12,"=","NAKED AND FAMOUS Young Blood",1009,19,78,17,4.056,0.117,44,12,1009,135,4.056
13,"=","FOO FIGHTERS Walk",991,21,237,-26,5.045,0.223,26,13,991,354,5.045
14,"=","SEETHER Country Song",913,-11,-59,1,5.036,-0.015,44,11,997,180,5.345
15,"=","CAGE THE ELEPHANT Shake Me Down",907,-5,-50,3,6.108,0.126,44,9,1181,47,7.17
16,"=","SICK PUPPIES Riptide",741,-11,-18,-12,2.935,-0.025,44,16,772,77,2.991
17,"=","311 Sunset In July",740,21,184,-12,3.802,-0.055,18,17,740,323,3.884
18,"=","CAGE THE ELEPHANT Around My Head",623,15,68,3,2.195,0.07,44,18,623,123,2.195
19,"=","DANGER MOUSE & DANIELE LUPPI Two Against...",592,5,40,-4,2.153,0.036,44,19,592,99,2.155
20,"=","REDLIGHT KING Old Man",565,-6,-5,-8,2.296,-0.019,44,17,592,82,2.689
21,"=","JOY FORMIDABLE Whirring",545,10,50,3,1.59,0.029,44,18,545,64,1.59
22,"=","LINKIN PARK Iridescent",518,1,33,1,1.854,-0.059,44,19,518,114,2.386
23,"=","RISE AGAINST Make It Stop (September's.....",507,3,67,-14,2.56,0.079,26,23,507,153,2.56
24,"=","AVENGED SEVENFOLD So Far Away",502,20,67,12,2.033,0.123,44,24,502,115,2.033
25,"=","ADELE Rolling In The Deep",466,-2,-27,4,1.898,-0.04,44,17,522,38,3.181
26,"=","TWO DOOR CINEMA CLUB What You Know",447,-1,16,-7,1.451,-0.023,44,25,454,81,1.474
27,"=","THREE DAYS GRACE Lost In You",417,-13,-13,-21,2.131,-0.083,44,18,449,56,2.248
28,"=","BEASTIE BOYS Make Some Noise",389,-20,-190,8,1.327,-0.049,44,9,1232,29,4.945
29,"=","MY CHEMICAL ROMANCE Bulletproof Heart",367,-19,-94,-23,0.874,-0.021,44,19,494,67,1.412
30,"=","CAKE Long Time",335,0,-13,2,1.228,0.04,44,28,350,63,1.228
31,"=","MUMFORD & SONS Roll Away Your Stone",332,17,63,15,1.446,0.027,33,31,332,89,1.446
32,"=","PARAMORE Monster",296,2,57,0,1.437,-0.034,16,32,296,188,1.495
33,"=","PAPA ROACH Burn",267,4,3,9,2.154,0.015,44,25,405,41,2.4
34,"+1","KORN Get Up f/Skrillex",254,1,-7,1,1.06,0.009,44,33,262,46,1.082
35,"+1","10 YEARS Fix Me",251,2,53,-2,2.009,-0.078,30,35,251,63,2.087
36,"-2","PANIC AT THE DISCO The Ballad Of Mona Li...",245,-15,-59,-13,1.109,-0.037,44,25,374,81,1.683
37,"=","TV ON THE RADIO Will Do",234,-9,-21,-5,0.556,-0.014,44,34,259,58,0.699
38,"=","STROKES Taken For A Fool",228,1,28,0,1.035,-0.001,30,38,228,68,1.036
39,"=","SIXX A.M. Lies Of The Beautiful People",209,1,2,8,0.71,0.001,44,37,215,37,0.77
40,"+3","A DAY TO REMEMBER All Signs Point To Lau...",202,13,30,7,1.051,0.086,23,40,202,42,1.051
41,"=","MIDDLE CLASS RUT Busy Bein' Born",197,3,29,-3,0.634,0.005,40,41,197,46,0.634
42,"=","FLORENCE + THE MACHINE You've Got The Lo...",192,1,73,-17,0.614,0.029,5,42,192,93,0.614
43,"-3","NEON TREES Your Surrender",192,-9,-70,6,0.456,0.001,44,24,398,49,1.328
44,"=","DISTURBED Warrior",186,3,-9,8,0.844,0.009,43,35,208,41,0.958
45,"+3","THIRTY SECONDS TO MARS Night Of The Hunt...",181,10,53,6,1.328,0.131,5,45,181,53,1.328
46,"=","STROKES Under Cover Of Darkness",180,0,-34,11,0.606,0.006,44,18,452,41,1.234
47,"=","MY MORNING JACKET Holdin On To Black Met...",176,2,2,3,0.559,0.004,44,40,178,52,0.678
48,"-3","LYKKE LI Get Some",170,-13,-33,-14,0.352,-0.004,44,33,230,40,1.009
49,"=","TAKING BACK SUNDAY Faith (When I Let You...",155,-7,7,-17,0.298,-0.006,7,46,169,51,0.321
50,"=","ADELITAS WAY Sick",154,-5,32,-14,0.554,-0.016,23,44,159,49,0.582
