"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","FOO FIGHTERS Rope",1700,"+12",-200,"+23",11.184,"+0.154",21,1,2006,0,12.051
2,"=","FOSTER THE PEOPLE Pumped Up Kicks",1402,"+22",-111,"+10",6.585,"+0.200",21,2,1554,112,7.691
3,"=","DEATH CAB FOR CUTIE You Are A Tourist",1282,"+16",-113,"+3",5.406,"+0.048",21,3,1395,101,6.53
4,"=","INCUBUS Adolescents",1244,"+0",-69,"-7",7.061,"+0.080",21,4,1333,57,7.061
5,"=","MUMFORD & SONS The Cave",1179,"+5",-111,"+19",6.393,"+0.056",21,3,1450,15,7.488
6,"+1","BLACK KEYS Howlin' For You",1116,"+3",-224,"+41",4.836,"-0.041",21,2,1525,22,6.937
7,"-1","RISE AGAINST Help Is On The Way",1113,"-19",-275,"-4",6.145,"-0.041",21,2,1492,69,7.451
8,"=","AIRBORNE TOXIC EVENT Changing",1094,"+2",-190,"+8",4.063,"-0.025",21,8,1304,87,5.581
9,"+2","SUBLIME WITH ROME Panic",999,"+23",4,"-4",4.492,"+0.167",21,9,1063,513,5.02
10,"=","AWOLNATION Sail",995,"+11",-66,"+7",4.142,"-0.002",21,9,1086,97,4.309
11,"-2","CAGE THE ELEPHANT Shake Me Down",980,"-10",-167,"+0",6.049,"+0.039",21,9,1181,8,7.17
12,"=","BEASTIE BOYS Make Some Noise",921,"-19",-208,"-6",3.183,"-0.063",21,9,1232,29,4.945
13,"=","YOUNG THE GIANT My Body",829,"+5",-128,"+24",3.713,"+0.068",21,11,1149,0,4.668
14,"+1","SEETHER Country Song",798,"+11",-83,"+18",4.144,"+0.156",21,13,914,49,4.448
15,"-1","NAKED AND FAMOUS Young Blood",789,"-10",-101,"-16",3.047,"+0.011",21,14,891,57,3.083
16,"=","SICK PUPPIES Riptide",693,"-8",-44,"-17",2.796,"-0.037",21,16,750,41,2.938
17,"=","REDLIGHT KING Old Man",552,"+8",19,"-6",2.301,"+0.024",21,17,554,82,2.689
18,"=","ADELE Rolling In The Deep",462,"+6",-50,"+12",2.82,"-0.008",21,17,522,26,3.121
19,"=","JOY FORMIDABLE Whirring",456,"+12",9,"+7",1.37,"-0.015",21,19,460,55,1.427
20,"=","MY CHEMICAL ROMANCE Bulletproof Heart",432,"-2",-39,"-6",1.221,"+0.008",21,19,479,66,1.329
21,"=","LINKIN PARK Iridescent",429,"-3",-47,"-6",2.343,"+0.033",21,19,483,114,2.386
22,"=","DANGER MOUSE & DANIELE LUPPI Two Against...",413,"+10",-50,"+12",1.66,"+0.003",21,19,465,71,2.155
23,"=","THREE DAYS GRACE Lost In You",393,"+1",-55,"+0",1.079,"+0.010",21,18,449,22,1.452
24,"=","NEON TREES Your Surrender",339,"-6",-51,"-14",1.034,"+0.011",21,24,398,49,1.328
25,"=","CAGE THE ELEPHANT Around My Head",325,"+6",6,"+1",1.155,"+0.011",21,25,330,103,1.188
26,"=","TWO DOOR CINEMA CLUB What You Know",320,"+4",-7,"-5",1.181,"+0.002",21,25,354,55,1.244
27,"=","PANIC AT THE DISCO The Ballad Of Mona Li...",297,"+4",-42,"+3",1.284,"-0.002",21,25,347,24,1.683
28,"=","AVENGED SEVENFOLD So Far Away",293,"+11",3,"+8",0.901,"+0.050",21,28,305,32,0.977
29,"=","PAPA ROACH Burn",272,"-2",-69,"+19",2.363,"+0.087",21,25,405,41,2.363
30,"=","CAKE Long Time",261,"+2",-29,"+3",0.808,"+0.005",21,28,312,22,1.13
31,"=","BAYSIDE Sick Sick Sick",241,"+3",-2,"+1",0.573,"-0.013",21,31,250,39,0.586
32,"=","STROKES Under Cover Of Darkness",214,"-4",-65,"-5",0.612,"-0.006",21,18,452,0,1.234
33,"=","LYKKE LI Get Some",200,"+1",-13,"-5",0.554,"+0.029",21,33,230,40,1.009
34,"+1","KORN Get Up f/Skrillex",188,"+5",1,"-2",0.586,"-0.018",21,34,189,46,0.736
35,"-1","TV ON THE RADIO Will Do",187,"+1",-10,"+3",0.494,"-0.008",21,34,200,44,0.587
36,"+1","DISTURBED Warrior",174,"-1",-26,"+2",0.776,"-0.007",21,35,204,41,0.872
37,"-1","BIFFY CLYRO Many Of Horror",172,"-4",-76,"-3",0.636,"-0.011",21,31,264,22,0.919
38,"=","SIXX A.M. Lies Of The Beautiful People",164,"-1",-24,"-4",0.675,"+0.014",21,37,188,26,0.753
39,"=","MUMFORD & SONS Roll Away Your Stone",162,"+8",25,"-1",0.473,"+0.023",10,39,162,56,0.473
41,"-1","MANCHESTER ORCHESTRA April Fool",148,"-3",-35,"-8",0.28,"-0.005",21,39,183,23,0.34
40,"+1","10 YEARS Fix Me",148,"+2",40,"-2",0.8,"-0.016",7,40,148,42,0.816
42,"=","RISE AGAINST Make It Stop (September's.....",144,"+10",67,"+2",0.63,"+0.030",3,42,144,67,0.653
43,"+3","STROKES Taken For A Fool",132,"+13",31,"+13",0.588,"+0.040",7,43,132,37,0.864
44,"-1","MIDDLE CLASS RUT Busy Bein' Born",132,"+3",7,"-1",0.34,"-0.008",17,43,132,46,0.407
45,"-1","COMPANY OF THIEVES Death Of Communicatio...",123,"-2",-8,"-4",0.269,"-0.008",21,42,142,19,0.35
46,"-1","MY MORNING JACKET Holdin On To Black Met...",122,"+0",-38,"+0",0.471,"-0.030",21,40,168,43,0.678
47,"=","FOO FIGHTERS Walk",118,"+2",21,"-1",0.496,"+0.018",3,47,118,25,0.496
48,"=","SHE WANTS REVENGE Must Be The One",115,"+0",-7,"-4",0.269,"-0.006",17,46,122,19,0.275
49,"+1","A DAY TO REMEMBER All Signs Point To Lau...",110,"+6",22,"+0",0.513,"+0.027",2,49,110,22,0.513
50,"--","COLD WAR KIDS Skip The Charades",107,"--",-2,"--",0.163,"--",7,48,121,40,0.268
