"Title","Artist","Spins"
"Something From Nothing","FOO FIGHTERS",2867
"Take Me To Church","HOZIER",2488
"Stolen Dance","MILKY CHANCE",2364
"Centuries","FALL OUT BOY",1849
"Flaws","BASTILLE",1834
"I Bet My Life","IMAGINE DRAGONS",1757
"Cigarette Daydreams","CAGE THE ELEPHANT",1655
"R U Mine?","ARCTIC MONKEYS",1563
"Shut Up And Dance","WALK THE MOON",1555
"Dangerous f/Joywave","BIG DATA",1548
"Riptide","VANCE JOY",1529
"Fools Gold","FITZ & THE TANTRUMS",1209
"Rollercoaster","BLEACHERS",1187
"Beggin For Thread","BANKS",1069
"Yellow Flicker Beat","LORDE",1062
"Agora","BEAR HANDS",1003
"Figure It Out","ROYAL BLOOD",994
"The Only Way Out","BUSH",942
"Everywhere I Go (Kings &...","NEW POLITICS",913
"Gotta Get Away","BLACK KEYS",811
"Cecilia And The Satellite","ANDREW MCMAHON IN WILDERNESS",650
"Budapest","GEORGE EZRA",618
"Kathleen","CATFISH AND THE BOTTLEMEN",571
"Back To The Shack","WEEZER",535
"Every Breaking Wave","U2",529
"Long Way Down","ROBERT DELONG",509
"Gooey","GLASS ANIMALS",454
"Bad Habit","KOOKS",434
"Tragedy + Time","RISE AGAINST",398
"Happy Idiot","TV ON THE RADIO",372
"Reflections","MISTERWIVES",355
"Till It's Gone","YELAWOLF",332
"Trainwreck 1979","DEATH FROM ABOVE 1979",288
"Sound Of Change","DIRTY HEADS",272
"All This Could Be Yours","COLD WAR KIDS",237
"Final Masquerade","LINKIN PARK",236
"Da Vinci","WEEZER",230
"Room To Breathe","YOU ME AT SIX",226
"The Miracle (Of Joey Ramone)","U2",223
"Cool Kids","ECHOSMITH",219
"Wrong","AIRBORNE TOXIC EVENT",194
"Somebody New","JOYWAVE",177
"Violent Shiver","BENJAMIN BOOKER",155
"Work It Out","KNOX HAMILTON",155
"Every Other Freckle","ALT-J",153
"The Righteous One","ORWELLS",144
"Being Beige","SMASHING PUMPKINS",136
"I Am Machine","THREE DAYS GRACE",128
"Mother & Father","BROODS",128
"Love Who Loves You Back","TOKIO HOTEL",115
