"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","ARCTIC MONKEYS","Do I Wanna Know?",2483,"-7",-57,"-6",14.129,"-0.013",191,"84",1,2578,229,14.325
2,"=","LORDE","Team",2024,"-40",-334,"+6",11.272,"-0.119",152,"7",1,2582,332,13.636
3,"=","NEIGHBOURHOOD","Afraid",1792,"+11",31,"+26",9.138,"+0.011",199,"--",3,1853,162,9.138
4,"=","CAGE THE ELEPHANT","Come A Little Closer",1779,"-1",-16,"+6",11.022,"+0.002",203,"--",1,2572,519,14.39
5,"=","FOSTER THE PEOPLE","Coming Of Age",1778,"-1",23,"+0",7.649,"-0.009",46,"--",4,1779,931,8.265
6,"=","YOUNG THE GIANT","It's About Time",1771,"+2",36,"-5",7.699,"-0.002",122,"--",6,1773,537,7.781
7,"=","BASTILLE","Pompeii",1614,"-4",-48,"+9",10.046,"+0.000",248,"6",1,2402,317,13.012
8,"=","KONGOS","Come With Me Now",1570,"+18",269,"-35",8.16,"+0.047",41,"--",8,1570,356,8.16
9,"=","PHANTOGRAM","Fall In Love",1509,"+14",182,"-21",6.899,"+0.032",85,"--",9,1509,203,6.899
10,"=","FITZ & THE TANTRUMS","Walker",1404,"+22",136,"+5",5.873,"+0.118",96,"--",10,1404,189,5.873
11,"=","VAMPIRE WEEKEND","Unbelievers",1330,"-15",-106,"+3",7.195,"-0.034",191,"--",7,1575,192,8.862
12,"+1","BASTILLE","Bad Blood",1097,"+22",147,"+0",4.598,"+0.099",56,"319",12,1097,168,4.598
13,"-1","NEON TREES","Sleeping With A Friend",1083,"-8",71,"-26",4.093,"+0.000",47,"--",12,1101,327,4.093
14,"=","J. RODDY WALSTON/THE BUSINESS","Heavy Bells",1013,"-3",-19,"+3",3.321,"-0.039",187,"--",12,1056,113,3.484
15,"=","SILVERSUN PICKUPS","Cannibal",938,"+6",33,"+2",3.006,"+0.006",54,"--",15,938,388,3.028
16,"=","NEW POLITICS","Tonight You're Perfect",774,"+6",61,"-5",3.476,"-0.001",124,"--",16,774,96,3.513
17,"+1","BEAR HANDS","Giants",663,"+32",128,"+18",2.473,"+0.100",75,"--",17,663,128,2.488
18,"-1","BROKEN BELLS","Holding On For Life",624,"-12",-71,"-4",1.969,"-0.049",110,"--",15,783,149,2.451
19,"=","AIRBORNE TOXIC EVENT","Hell And Back",584,"-16",-67,"-1",1.997,"-0.040",138,"--",16,727,118,2.711
20,"=","OF MONSTERS AND MEN","Dirty Paws",537,"-1",-13,"-3",2.87,"-0.064",111,"--",20,607,124,3.177
21,"=","AMERICAN AUTHORS","Best Day Of My Life",528,"+7",20,"+11",2.713,"-0.016",104,"18",21,528,76,2.729
22,"=","IMAGINE DRAGONS","On Top Of The World",517,"+1",-20,"+6",1.796,"-0.040",110,"68",17,711,124,2.441
23,"=","GROUPLOVE","Shark Attack",485,"+16",5,"+23",1.141,"+0.056",47,"--",23,487,111,1.243
24,"+3","KINGS OF LEON","Wait For Me",470,"+39",231,"+13",1.439,"+0.113",55,"--",24,470,231,1.439
25,"-1","ARCADE FIRE","Afterlife",461,"-2",-43,"-1",0.969,"+0.005",83,"--",23,521,133,1.601
26,"=","WILD CUB","Thunder Clatter",437,"+5",45,"-1",0.939,"-0.008",46,"--",26,437,97,0.95
27,"-2","TWENTY ONE PILOTS","House Of Gold",400,"-34",-133,"-10",1.698,"-0.135",182,"--",10,1214,155,4.583
28,"=","BAD SUNS","Cardiac Arrest",333,"+1",58,"-8",0.724,"-0.020",30,"--",28,333,75,0.751
