"Title","Artist","Spins"
"Madness","MUSE",2108
"Little Black Subm...","BLACK KEYS",1974
"I Will Wait","MUMFORD & SONS",1927
"Ho Hey","LUMINEERS",1730
"Trojans","ATLAS GENIUS",1699
"Radioactive","IMAGINE DRAGONS",1480
"Take A Walk","PASSION PIT",1326
"Mountain Sound","OF MONSTERS AND M...",1289
"Kill Your Heroes","AWOLNATION",1222
"The Pit","SILVERSUN PICKUPS",1171
"Carry On","FUN.",1140
"We Come Running","YOUNGBLOOD HAWKE",1002
"Chalk Outline","THREE DAYS GRACE",696
"Breathing Underwa...","METRIC",683
"Let Yourself Go","GREEN DAY",669
"Been Away Too Lon...","SOUNDGARDEN",660
"Thrift Shop f/Wan...","MACKLEMORE & RYAN...",620
"Tightrope","WALK THE MOON",591
"Itchin' On A Phot...","GROUPLOVE",571
"Change","CHURCHILL",552
"Tempest","DEFTONES",531
"Stubborn Love","LUMINEERS",503
"This Ladder Is Ou...","JOY FORMIDABLE",484
"Let's Go","MATT AND KIM",478
"Sleep Alone","TWO DOOR CINEMA C...",461
"Miss Atomic Bomb","KILLERS",453
"Fitzpleasure","ALT-J",406
"Sweater Weather","NEIGHBOURHOOD",351
"Safe And Sound","CAPITAL CITIES",348
"Where The Kids Ar...","BLONDFIRE",332
"Closer","TEGAN & SARA",320
"Enemies","SHINEDOWN",319
"Lost In The Echo","LINKIN PARK",316
"Lover Of The Ligh...","MUMFORD & SONS",313
"Up All Night","ALEX CLARE",309
"Carried Away","PASSION PIT",298
"Dark Again","GOLD FIELDS",286
"Holding On To You","TWENTY ONE PILOTS",264
"Where Will We Go","IAMDYNAMITE",262
"Lessons In Love (...","NEON TREES",258
"Freedom At 21","JACK WHITE",254
"Dance All Night f...","DIRTY HEADS",241
"Hero","FAMILY OF THE YEA...",227
"Home","PHILLIP PHILLIPS",209
"San Francisco","THE MOWGLI'S",199
"Carry On","AVENGED SEVENFOLD",155
"Yeah Yeah","WILLY MOON",131
"Here Comes My Man","GASLIGHT ANTHEM",117
"Same Old Trip","CHEVELLE",113
"Season's Upon Us","DROPKICK MURPHYS",105
